Scenario,ID,nVmax,nKm,nV,nKa,nVmax_shrinkage,nKm_shrinkage,nV_shrinkage,nKa_shrinkage
WorkFlow,39,0.348592209133115,0.25856395866724,-0.0900894064643035,0.556347254115465,0.428706,0.350891,0.356687,0.701318
WorkFlow,40,-0.525319514228709,0.107717606884879,-0.791490197333534,-0.346468363667924,0.212088,0.318513,0.378672,0.526651
WorkFlow,41,0.22964604587459,-0.190765273003343,-0.20523600885629,0.174217624757743,0.227485,0.357266,0.306597,0.643842
WorkFlow,42,-0.42554917691418,-0.0257963953588237,0.194895822929697,-0.180448267375125,0.449069,0.330922,0.497047,0.537283
WorkFlow,43,-0.112191624314191,0.0333491503450894,0.184393589148668,0.528198161584558,0.481863,0.322834,0.426033,0.73546
WorkFlow,44,0.15376395188265,0.461504740708071,-0.243910661615358,-0.0955848746169583,0.447748,0.367045,0.376586,0.576462
WorkFlow,45,0.378771277316184,-0.0472040498147954,-0.0126815070982175,0.17421869023723,0.343211,0.374104,0.332752,0.645717
WorkFlow,46,0.156131722986157,-0.191769100982972,-0.513788913805234,-0.388574859224019,0.19708,0.379766,0.290652,0.538658
WorkFlow,47,0.154603992516135,-0.0467568487506786,0.360142847587119,0.269080854818214,0.521444,0.339999,0.384322,0.634458
WorkFlow,48,0.434184391257684,0.368823784140821,-0.00694938325801644,0.243206313870932,0.531671,0.36487,0.353228,0.660111
WorkFlow,49,0.27390550744536,0.165853107114265,-0.637742630545946,0.178556350478526,0.185297,0.367951,0.289008,0.614469
WorkFlow,50,-0.246940337364896,0.287975144313476,-0.555704035586878,-0.582121363771516,0.305842,0.353858,0.393695,0.489885
WorkFlow,51,0.51801416843631,-0.721077591054444,0.227761198955454,0.0614007211325879,0.194953,0.384469,0.2708,0.609922
WorkFlow,52,-0.0163453637250982,0.00338568274756046,-0.0249006293065427,-0.121117502513588,0.40139,0.338802,0.386424,0.598557
WorkFlow,53,-0.477647559000612,0.00383093525046271,0.735291154002044,0.0456136486307733,0.625858,0.326165,0.501677,0.608801
WorkFlow,54,-0.282859522771933,0.662243326021846,0.529038374833301,-0.312314867416515,0.735882,0.342071,0.435956,0.586296
WorkFlow,55,0.119313443834543,-0.324300452695519,0.0881652601817811,0.373038025821272,0.283417,0.342344,0.3412,0.651031
WorkFlow,56,-0.049449168601096,0.134254137764426,0.141379834279248,-0.0954605915885585,0.502334,0.351757,0.424118,0.580504
WorkFlow,57,-0.247728224193238,-0.102928182238547,-0.747686089776976,0.102610284519629,0.1162,0.315223,0.284536,0.618777
WorkFlow,58,-0.0444097631707582,0.498379674174972,0.229454340421885,-0.124830220046709,0.63595,0.352783,0.416797,0.574885
WorkFlow,59,-0.0318669762142537,-0.142557572338174,0.277574387254493,0.13473652627573,0.427928,0.346048,0.398668,0.611827
WorkFlow,60,0.0549341187527602,0.084543123410695,0.159239449824171,-0.000489764752949597,0.50183,0.348777,0.39477,0.592496
