
 WorkFlow
Start 2024-09-04 18:01:40  Run : 14.0666666666667 nSubj: 60 nObs : 420
 Iter     -2LL CMultStdev  tvVmax    tvKm      tvV     tvKa      K12     K21       K13       K31
   90 6995.429   0.453241 2501.16 2996.03  5.90572 0.411583 2.921760 2.00435 0.4229530 0.0908792
   91 6995.384   0.453253 2501.11 2996.04  5.90058 0.411558 2.921740 2.00452 0.4223350 0.0898388
   92 6995.374   0.453252 2501.06 2996.05  5.88968 0.411306 2.921520 2.00463 0.4200850 0.0893449
   93 6995.370   0.453323 2500.91 2996.08  5.87866 0.410821 2.922170 2.00454 0.4173040 0.0889593
   94 6995.369   0.453359 2500.95 2996.10  5.87618 0.410641 2.922740 2.00436 0.4164320 0.0887483
   95 6995.366   0.453367 2500.94 2996.12  5.87982 0.410556 2.924250 2.00389 0.4165650 0.0888114
   96 6995.364   0.453340 2500.70 2996.16  5.88435 0.410100 2.926990 2.00340 0.4155530 0.0886807
   97 6995.364   0.453265 2500.66 2996.24  5.89617 0.409441 2.931830 2.00380 0.4147100 0.0885210
   98 6995.364   0.453244 2500.59 2996.27  5.89940 0.409216 2.934090 2.00409 0.4140420 0.0884678
   99 6995.363   0.453241 2500.57 2996.28  5.89968 0.409183 2.934370 2.00403 0.4139420 0.0884416
  100 6995.358   0.453285 2500.47 2996.29  5.89551 0.409410 2.933500 2.00371 0.4126150 0.0889711
  101 6995.354   0.453270 2500.47 2996.29  5.89689 0.409366 2.933850 2.00378 0.4132430 0.0885366
  102 6995.354   0.453268 2500.48 2996.29  5.89686 0.409365 2.933810 2.00361 0.4132240 0.0884886
  103 6995.354   0.453256 2500.44 2996.29  5.89694 0.409354 2.933770 2.00337 0.4132900 0.0882813
  104 6995.353   0.453262 2500.46 2996.29  5.89728 0.409388 2.933760 2.00356 0.4133760 0.0884335
  105 6995.353   0.453262 2500.46 2996.29  5.89726 0.409387 2.933760 2.00355 0.4133690 0.0884250
  106 6995.352   0.453262 2500.46 2996.29  5.89726 0.409387 2.933750 2.00354 0.4133670 0.0884220
  107 6995.352   0.453261 2500.46 2996.29  5.89724 0.409385 2.933750 2.00353 0.4133650 0.0884140
  108 6995.352   0.453261 2500.46 2996.29  5.89724 0.409385 2.933750 2.00353 0.4133650 0.0884140
