
 WorkFlow
Start 2024-10-22 08:09:57  Run : 10.0666666666667 nSubj: 60 nObs : 480
   45 6671.040 0.839274   0.500363 3735.41 2386.330 71.6487 1.311180 0.3639960 2.2679000 0.0621844 0.0364892
   46 6669.525 0.864290   0.494682 3824.30 2283.250 72.1767 1.313080 0.3563770 2.1976000 0.0620908 0.0359334
   47 6664.381 1.063710   0.469487 4506.75 1591.610 74.1777 1.321280 0.3006510 1.7440700 0.0590728 0.0340586
   48 6659.873 1.110780   0.473418 4534.35 1573.880 73.6248 1.305290 0.2898510 1.6930800 0.0562749 0.0353047
   49 6656.955 1.189810   0.473872 4680.60 1385.910 73.8970 1.290960 0.2629350 1.5180700 0.0527483 0.0359608
   50 6653.557 1.350430   0.487581 4941.72 1117.680 74.9001 1.301050 0.2103550 1.1822500 0.0454892 0.0378337
   51 6652.989 1.365260   0.500919 4949.76 1184.120 74.5771 1.338170 0.1949090 1.0950800 0.0427207 0.0392989
   52 6651.188 1.425380   0.491667 5077.34 1081.190 75.0008 1.354930 0.1805650 0.9952740 0.0413866 0.0394622
   53 6651.057 1.453810   0.489067 5126.12 1041.610 75.3668 1.364610 0.1703440 0.9266450 0.0403043 0.0396156
   54 6650.904 1.498030   0.482168 5193.18  984.096 76.4070 1.388870 0.1481720 0.7754950 0.0382243 0.0396823
   55 6650.667 1.513080   0.479073 5188.23  955.374 77.6014 1.401450 0.1302030 0.6495430 0.0368664 0.0392432
   56 6650.352 1.547310   0.482391 5192.07  919.129 79.0109 1.405820 0.1099620 0.5049250 0.0353534 0.0384801
   57 6650.150 1.590810   0.486639 5100.33  855.332 80.6165 1.393160 0.0783940 0.2969800 0.0325678 0.0371251
   58 6649.974 1.595670   0.487411 5050.54  844.902 80.9135 1.386770 0.0709257 0.2512540 0.0318782 0.0366246
   59 6649.670 1.600590   0.487992 4975.22  832.638 81.1952 1.379270 0.0617169 0.1990380 0.0308590 0.0359972
   60 6649.254 1.603710   0.488509 4883.04  821.670 81.4715 1.373600 0.0523694 0.1505050 0.0296542 0.0352783
   61 6648.864 1.601370   0.488891 4810.14  819.065 81.5749 1.370810 0.0474147 0.1273830 0.0289038 0.0347914
   62 6648.780 1.601780   0.489264 4705.25  810.920 81.8132 1.368620 0.0395300 0.0923062 0.0276263 0.0340695
   63 6648.417 1.604030   0.486834 4578.97  803.190 81.6622 1.380920 0.0350098 0.0817966 0.0261022 0.0334020
   64 6648.069 1.644370   0.485716 4638.78  798.267 81.1706 1.407120 0.0346656 0.0803055 0.0257458 0.0340338
   65 6647.971 1.687000   0.485123 4598.33  776.069 81.1071 1.441630 0.0311120 0.0681257 0.0245435 0.0346370
   66 6647.452 1.774190   0.484113 4476.70  719.249 81.4968 1.519790 0.0274584 0.0612568 0.0224352 0.0365536
   67 6646.838 1.902670   0.482226 4216.59  627.335 83.2043 1.637520 0.0245436 0.0622046 0.0197593 0.0398588
   68 6645.940 1.893880   0.480548 4078.88  620.642 84.5286 1.654130 0.0254460 0.0674525 0.0198541 0.0399170
   69 6645.299 1.954950   0.480476 3793.03  574.918 87.4535 1.705790 0.0244832 0.0692377 0.0187086 0.0412126
   70 6644.903 1.999990   0.482888 3627.66  557.441 89.7698 1.704650 0.0250250 0.0720529 0.0184511 0.0415264
   71 6644.643 2.084150   0.483950 3521.59  529.567 90.7573 1.715750 0.0245085 0.0729419 0.0176007 0.0424055
   72 6644.322 2.164420   0.485105 3468.55  517.950 90.4092 1.687400 0.0242209 0.0710636 0.0171956 0.0424514
   73 6643.952 2.234930   0.485060 3401.60  507.855 88.9329 1.645520 0.0252872 0.0741726 0.0172958 0.0423041
   74 6643.601 2.383300   0.483474 3145.94  468.604 87.0464 1.596980 0.0279229 0.0852408 0.0174515 0.0426068
   75 6643.281 2.365690   0.482127 3132.52  476.078 84.8274 1.550010 0.0313673 0.0944121 0.0189972 0.0416843
   76 6643.109 2.364870   0.481648 3072.31  466.384 85.0268 1.566060 0.0314565 0.0942199 0.0192754 0.0416907
   77 6642.787 2.350350   0.481950 2991.61  449.253 85.3505 1.594990 0.0331875 0.0980219 0.0206159 0.0416311
   78 6642.659 2.361340   0.482554 2917.93  436.941 85.0716 1.583970 0.0344803 0.0982240 0.0218192 0.0411688
   79 6642.553 2.374020   0.483687 2879.97  429.079 84.7241 1.560610 0.0362658 0.0991101 0.0232501 0.0407732
   80 6642.506 2.384360   0.483972 2876.64  428.438 84.5601 1.546280 0.0368017 0.0992057 0.0236261 0.0408388
   81 6642.495 2.424490   0.483953 2838.27  424.216 84.1681 1.512670 0.0367034 0.0949048 0.0240013 0.0411992
   82 6642.433 2.419900   0.483574 2839.43  424.215 84.3946 1.525290 0.0360394 0.0924912 0.0239104 0.0416977
   83 6642.371 2.425290   0.482434 2834.59  422.083 85.1329 1.562350 0.0333563 0.0830091 0.0232997 0.0436054
   84 6642.299 2.448260   0.482185 2788.96  412.985 85.1189 1.566520 0.0334629 0.0810715 0.0238717 0.0448968
   85 6642.200 2.458760   0.482235 2772.05  408.186 85.0829 1.563530 0.0337518 0.0791527 0.0246819 0.0461964
   86 6642.005 2.487190   0.482308 2738.73  396.786 84.8681 1.553320 0.0347434 0.0750351 0.0269270 0.0498656
   87 6641.846 2.486840   0.482666 2756.46  394.442 84.6404 1.539070 0.0355847 0.0710442 0.0291161 0.0529211
   88 6641.759 2.474950   0.482626 2810.45  400.293 84.6300 1.537320 0.0351663 0.0671217 0.0298234 0.0547063
   89 6641.736 2.459760   0.482723 2866.49  409.556 84.6822 1.539140 0.0344917 0.0663045 0.0292386 0.0544424
   90 6641.671 2.475000   0.482753 2884.49  410.586 84.5747 1.537650 0.0343248 0.0645206 0.0293633 0.0555272
   91 6641.430 2.512770   0.483195 2859.52  404.054 84.0873 1.531020 0.0361054 0.0692145 0.0300695 0.0571614
   92 6641.170 2.628710   0.484306 2804.02  382.328 82.4006 1.503180 0.0414648 0.0766970 0.0342748 0.0657730
   93 6641.144 2.590340   0.483939 2827.50  389.188 82.9055 1.512350 0.0397017 0.0740157 0.0330613 0.0634265
   94 6641.144 2.590250   0.483938 2827.50  389.200 82.9062 1.512350 0.0396977 0.0740078 0.0330588 0.0634177
   95 6641.125 2.591000   0.483890 2824.62  389.640 82.9145 1.511720 0.0396278 0.0740822 0.0331104 0.0633974
   96 6641.123 2.590070   0.483614 2824.50  389.612 82.9066 1.511050 0.0396221 0.0740878 0.0331182 0.0633748
   97 6641.120 2.586350   0.482564 2824.87  389.519 82.8733 1.507230 0.0396111 0.0741254 0.0331638 0.0632491
   98 6641.120 2.584050   0.482199 2825.55  389.469 82.8404 1.505100 0.0396158 0.0741440 0.0331923 0.0631570
   99 6641.119 2.583740   0.482154 2825.63  389.463 82.8354 1.504800 0.0396163 0.0741464 0.0331963 0.0631436
  100 6641.119 2.583670   0.482143 2825.65  389.461 82.8341 1.504720 0.0396164 0.0741470 0.0331973 0.0631402
  101 6641.118 2.582140   0.483006 2824.69  389.324 82.6990 1.502440 0.0396192 0.0740850 0.0331942 0.0629705
  102 6641.116 2.581950   0.483321 2824.61  389.565 82.6935 1.501390 0.0396212 0.0740947 0.0332289 0.0628646
  103 6641.115 2.581400   0.483632 2825.41  389.832 82.6934 1.499770 0.0396436 0.0740972 0.0332744 0.0626878
  104 6641.114 2.577260   0.483907 2827.90  390.380 82.6822 1.495380 0.0397099 0.0741065 0.0333921 0.0622689
  105 6641.110 2.564730   0.483867 2832.93  391.245 82.5947 1.488200 0.0398582 0.0741165 0.0336225 0.0615309
  106 6641.109 2.541550   0.483463 2840.96  392.491 82.3266 1.477130 0.0401461 0.0741578 0.0340236 0.0603413
  107 6641.109 2.538870   0.483416 2841.60  392.585 82.2929 1.476300 0.0401793 0.0741739 0.0340657 0.0602319
  108 6641.096 2.549630   0.483626 2837.96  391.721 82.3877 1.485350 0.0400708 0.0741782 0.0338445 0.0610588
  109 6641.087 2.552600   0.483129 2835.85  391.230 82.4175 1.491940 0.0400560 0.0742495 0.0337702 0.0616142
  110 6641.080 2.547750   0.482904 2836.18  391.181 82.3905 1.495130 0.0401621 0.0743683 0.0338505 0.0618216
  111 6641.065 2.533910   0.482465 2836.84  391.446 82.3208 1.498630 0.0404576 0.0746656 0.0341397 0.0620170
  112 6641.046 2.514780   0.482442 2838.42  392.114 82.2502 1.499650 0.0409339 0.0750835 0.0346208 0.0620921
  113 6641.026 2.494100   0.482635 2840.49  393.159 82.1771 1.496350 0.0415808 0.0756189 0.0352936 0.0620732
  114 6641.012 2.490110   0.483023 2841.86  393.649 82.1396 1.490690 0.0419229 0.0758825 0.0356492 0.0620855
  115 6640.997 2.494100   0.483444 2844.09  393.795 82.0550 1.481650 0.0423038 0.0761959 0.0360367 0.0623447
  116 6640.983 2.502390   0.483632 2847.57  393.396 81.8986 1.472970 0.0426225 0.0764907 0.0363632 0.0627940
  117 6640.962 2.516930   0.483503 2855.63  392.077 81.5160 1.459270 0.0431942 0.0770839 0.0369855 0.0637856
  118 6640.948 2.525160   0.483172 2863.52  390.595 81.1651 1.451530 0.0436364 0.0775796 0.0375118 0.0645763
  119 6640.936 2.528760   0.482753 2870.02  389.028 80.9118 1.449290 0.0439299 0.0779473 0.0379270 0.0651047
  120 6640.924 2.528230   0.482536 2875.92  387.446 80.7377 1.449040 0.0442461 0.0782936 0.0384020 0.0653927
  121 6640.910 2.526890   0.482491 2880.37  385.528 80.6132 1.449120 0.0446712 0.0786862 0.0390454 0.0655521
  122 6640.894 2.525730   0.482753 2881.72  383.338 80.5037 1.446740 0.0453450 0.0791942 0.0399721 0.0656655
  123 6640.882 2.527530   0.483092 2875.59  381.837 80.4567 1.443320 0.0459116 0.0795280 0.0406758 0.0657553
  124 6640.869 2.529960   0.483489 2861.15  380.640 80.3986 1.438490 0.0465024 0.0797579 0.0413126 0.0658106
  125 6640.857 2.531230   0.483609 2840.04  379.670 80.2931 1.433710 0.0470630 0.0799066 0.0418429 0.0659182
  126 6640.845 2.529060   0.483531 2812.20  378.465 80.0832 1.427970 0.0477393 0.0800444 0.0424658 0.0660029
  127 6640.840 2.526200   0.483214 2796.81  377.836 79.9741 1.427120 0.0479096 0.0799902 0.0426117 0.0659629
  128 6640.837 2.521730   0.483112 2790.28  377.423 79.9000 1.426740 0.0479968 0.0799340 0.0427086 0.0658272
