
 WorkFlow
Start 2024-10-22 08:20:14  Run : 28.2333333333333 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa      K12     K21       K13       K31
   85 6713.831 1.073470   0.524111 6235.01 2035.510 68.0989 1.354270 0.424721 2.47860 0.0813095 0.0525392
   86 6713.798 1.072740   0.524233 6306.98 2064.920 66.9870 1.328580 0.426080 2.43624 0.0831262 0.0523036
   87 6713.796 1.068210   0.523875 6331.39 2090.580 66.9859 1.326460 0.424963 2.41672 0.0833639 0.0522033
   88 6713.795 1.068110   0.523869 6332.52 2091.050 66.9897 1.326500 0.424904 2.41607 0.0833689 0.0521986
   89 6713.782 1.073380   0.524136 6289.35 2077.160 66.8122 1.321900 0.426881 2.43239 0.0832136 0.0525495
   90 6713.739 1.089710   0.525710 6225.41 2024.440 66.9621 1.324330 0.426424 2.38007 0.0840891 0.0537749
   91 6713.722 1.105980   0.525567 6336.91 2008.630 66.8823 1.314640 0.423402 2.35284 0.0839540 0.0540401
   92 6713.722 1.103880   0.525436 6353.73 2023.090 66.9245 1.312690 0.422346 2.33954 0.0840095 0.0540185
   93 6713.633 1.090850   0.525786 6244.57 2049.730 67.5597 1.330020 0.422964 2.37927 0.0831053 0.0531797
   94 6713.548 1.085080   0.525971 6154.77 2033.030 67.5008 1.328220 0.426030 2.38952 0.0839335 0.0536129
   95 6713.145 1.074520   0.525919 5727.61 1879.700 66.5449 1.312140 0.446907 2.47621 0.0892100 0.0562390
   96 6712.721 1.087230   0.525878 5342.84 1670.090 65.5508 1.293350 0.471187 2.59318 0.0946357 0.0591669
   97 6711.945 1.137160   0.525804 4211.21 1111.280 63.6658 1.268880 0.552741 3.14940 0.1071940 0.0653885
   98 6711.250 1.117120   0.525047 3849.95 1034.200 63.0114 1.261600 0.582348 3.34762 0.1124210 0.0656381
   99 6710.370 1.126170   0.524205 3832.80 1018.400 63.2625 1.260980 0.596365 3.55241 0.1118470 0.0621152
  100 6708.652 1.170320   0.522162 2189.49  449.325 61.4743 1.237390 0.794656 5.45569 0.1294290 0.0603758
  101 6708.181 1.166940   0.521310 2139.72  433.135 60.0025 1.193230 0.811116 5.43181 0.1363980 0.0611654
  102 6707.982 1.167200   0.520036 2663.27  561.328 58.9448 1.141210 0.759953 4.82234 0.1365230 0.0612499
  103 6707.392 1.196940   0.519025 2480.79  470.057 58.0307 1.124510 0.792581 5.03675 0.1432830 0.0618906
