
 WorkFlow
Start 2024-10-22 08:02:41  Run : 7 nSubj: 60 nObs : 480
   98 6603.915 2.581730   0.482297  4539.29  436.387 65.0205 1.63439 0.2084400 0.860523 0.07746570 0.1451050
   99 6603.901 2.556260   0.481655  4620.65  439.482 64.7393 1.62597 0.2093850 0.862729 0.07874650 0.1455120
  100 6603.873 2.490630   0.481011  4830.63  447.081 64.1184 1.60491 0.2117390 0.868715 0.08193000 0.1466050
  101 6603.848 2.435410   0.481583  5029.23  457.308 63.8146 1.59283 0.2130000 0.881116 0.08334800 0.1479950
  102 6603.835 2.411160   0.482724  5132.86  463.026 63.8159 1.58832 0.2133620 0.889748 0.08354470 0.1488940
  103 6603.830 2.406770   0.483358  5160.08  463.871 63.8640 1.58783 0.2132820 0.892900 0.08348030 0.1492710
  104 6603.823 2.408820   0.484055  5175.13  462.912 63.9590 1.58827 0.2130000 0.895907 0.08335280 0.1497500
  105 6603.815 2.401210   0.484340  5226.72  461.831 63.9158 1.58504 0.2132280 0.898847 0.08415640 0.1504480
  106 6603.806 2.405020   0.484414  5262.32  459.939 63.9994 1.58817 0.2129150 0.904106 0.08436560 0.1514070
  107 6603.792 2.368310   0.483876  5453.13  462.089 63.7232 1.57995 0.2141930 0.914296 0.08700830 0.1533770
  108 6603.773 2.327560   0.483090  5669.22  467.256 63.4892 1.57562 0.2155080 0.928058 0.08944230 0.1556000
  109 6603.753 2.284160   0.482449  5910.25  475.673 63.4054 1.57867 0.2165230 0.947824 0.09119590 0.1582600
  110 6603.747 2.227580   0.482588  6222.35  485.743 63.3007 1.57774 0.2178510 0.972119 0.09350660 0.1615290
  111 6603.741 2.233370   0.483026  6218.58  487.319 63.5534 1.58648 0.2172790 0.978312 0.09244300 0.1620040
  112 6603.738 2.228920   0.483045  6243.32  488.364 63.5594 1.58707 0.2172080 0.981642 0.09238590 0.1623140
  113 6603.737 2.224640   0.483112  6270.97  488.757 63.5710 1.58710 0.2172550 0.985177 0.09254270 0.1626820
