
 WorkFlow
Start 2024-09-22 08:40:31  Run : 1.53611111111111 nSubj: 60 nObs : 480
 Iter      -2LL    GAMMA CMultStdev  tvVmax    tvKm     tvV    tvKa      K12      K21       K13        K31   dVdWT
   70  6840.096 1.567440   0.757016 4046.87 3931.84 51.9833 1.13262 0.427089 3.044720 0.0564829 0.01183300 1.09398
   71  6839.293 1.565660   0.748750 4049.26 3928.53 52.1221 1.13160 0.416125 3.035090 0.0535941 0.01118930 1.09418
   72  6834.740 1.555210   0.702740 4063.70 3908.91 52.9514 1.12742 0.374306 2.980150 0.0455469 0.00836286 1.09566
   73  6826.419 1.544770   0.659429 4078.45 3889.16 53.7930 1.12464 0.348756 2.928270 0.0431471 0.00690501 1.09732
   74  6802.910 1.515070   0.546289 4121.26 3832.75 56.2378 1.11986 0.310102 2.788190 0.0479100 0.00496120 1.10242
   75  6788.291 1.507000   0.521287 4133.75 3816.92 56.9195 1.12251 0.340527 2.753650 0.0681419 0.00473902 1.10437
   76  6784.335 1.507910   0.526402 4132.87 3818.31 56.8452 1.12454 0.359929 2.761360 0.0763935 0.00553111 1.10444
   77  6784.157 1.505430   0.518659 4136.62 3813.51 57.0460 1.12475 0.361502 2.749760 0.0795543 0.00509605 1.10492
   78  6784.156 1.505420   0.518626 4136.64 3813.49 57.0467 1.12474 0.361421 2.749720 0.0795188 0.00509552 1.10492
   79  6783.997 1.505330   0.518641 4136.82 3813.28 57.0508 1.12485 0.360947 2.749730 0.0795758 0.00518530 1.10493
   80  6783.996 1.505320   0.518642 4136.85 3813.24 57.0514 1.12487 0.360992 2.749690 0.0795472 0.00517063 1.10493
   81  6783.979 1.505300   0.518644 4136.87 3813.22 57.0518 1.12489 0.361009 2.749670 0.0795426 0.00522166 1.10493
   82  6783.967 1.505270   0.518648 4136.94 3813.15 57.0530 1.12492 0.361264 2.749550 0.0794567 0.00529056 1.10494
   83  6783.949 1.505190   0.518655 4137.09 3812.98 57.0558 1.12501 0.361976 2.749210 0.0792126 0.00541656 1.10495
   84  6783.910 1.505020   0.518671 4137.39 3812.65 57.0615 1.12518 0.363487 2.748500 0.0786865 0.00563770 1.10497
   85  6783.000 1.503590   0.518800 4140.00 3809.82 57.1091 1.12665 0.376854 2.742330 0.0740663 0.00751516 1.10515
   86  6775.074 1.498640   0.519245 4148.98 3800.07 57.2730 1.13167 0.425410 2.720740 0.0585921 0.01578980 1.10577
   87  6770.837 1.500020   0.519124 4146.48 3802.78 57.2273 1.13027 0.411174 2.726910 0.0628674 0.01312380 1.10560
   88  6769.900 1.499510   0.519177 4147.40 3801.79 57.2436 1.13075 0.414911 2.725190 0.0617133 0.01398170 1.10566
   89  6769.024 1.497890   0.519355 4150.35 3798.58 57.2956 1.13229 0.425233 2.720320 0.0586024 0.01682150 1.10584
   90  6767.062 1.497920   0.519362 4150.31 3798.64 57.2941 1.13223 0.423188 2.721090 0.0592077 0.01663060 1.10583
