
 WorkFlow
Start 2024-10-19 14:37:06  Run : 4.68333333333333 nSubj: 60 nObs : 480
   34 6400.681   0.497742 6355.87 2112.680 76.5561 1.429780 0.466251 3.582150 0.0559263 0.0721459 1.179270
   35 6400.649   0.498057 6354.19 2113.460 76.3034 1.434690 0.466377 3.581690 0.0558789 0.0721294 1.178970
   36 6400.622   0.498903 6358.11 2111.100 76.1037 1.440460 0.466122 3.580290 0.0558734 0.0720731 1.178690
   37 6400.505   0.501258 6336.64 2121.880 75.3096 1.434470 0.465957 3.583170 0.0556631 0.0717692 1.176330
   38 6400.313   0.502544 6340.84 2116.480 74.8027 1.428800 0.465086 3.580280 0.0555312 0.0712544 1.173510
   39 6399.275   0.504902 6385.69 2075.450 73.1350 1.395710 0.461732 3.561150 0.0554934 0.0681892 1.159530
   40 6397.895   0.504257 6495.97 1993.070 72.1307 1.348550 0.455679 3.526760 0.0558198 0.0640392 1.141990
   41 6396.764   0.500675 6613.31 1898.120 70.1821 1.256810 0.447625 3.484300 0.0563284 0.0576594 1.113460
   42 6396.456   0.495416 6634.29 1881.710 70.1370 1.235930 0.444060 3.477240 0.0563217 0.0567269 1.108640
   43 6396.371   0.490683 6648.21 1875.470 70.6560 1.243160 0.442358 3.474740 0.0564436 0.0569465 1.109960
   44 6396.371   0.490667 6648.57 1875.210 70.6530 1.243030 0.442332 3.474620 0.0564454 0.0569331 1.109900
   45 6396.337   0.491727 6632.24 1885.160 70.5745 1.247030 0.444124 3.477810 0.0566300 0.0569666 1.110600
   46 6396.334   0.491789 6634.07 1884.020 70.6055 1.247220 0.444003 3.477170 0.0566351 0.0569513 1.110510
   47 6396.298   0.493988 6658.99 1868.130 71.2840 1.256890 0.441732 3.465660 0.0565816 0.0570209 1.109770
   48 6396.268   0.494447 6684.15 1849.070 71.6064 1.261900 0.438690 3.450460 0.0564893 0.0565586 1.105890
   49 6396.195   0.495335 6722.97 1814.420 72.1394 1.270870 0.431519 3.416550 0.0559865 0.0556072 1.095940
   50 6396.031   0.496214 6757.75 1768.330 72.8767 1.286320 0.418755 3.355410 0.0547539 0.0539688 1.075880
   51 6395.701   0.497015 6759.61 1718.060 74.0502 1.315380 0.398073 3.254190 0.0521881 0.0516911 1.040730
   52 6395.253   0.496593 6686.69 1687.340 75.6004 1.360030 0.372659 3.123560 0.0483077 0.0493291 0.993275
   53 6394.932   0.494843 6574.59 1700.090 76.5855 1.393830 0.359355 3.045570 0.0455209 0.0484370 0.963311
   54 6394.709   0.493179 6484.34 1733.360 76.9495 1.408950 0.358569 3.027770 0.0443688 0.0488551 0.955370
   55 6394.586   0.492568 6450.45 1762.160 76.7926 1.405350 0.364969 3.052590 0.0447226 0.0497705 0.963590
   56 6394.572   0.492543 6456.58 1762.380 76.7631 1.402360 0.366059 3.058900 0.0449119 0.0499000 0.966060
   57 6394.567   0.492503 6457.78 1762.640 76.7676 1.400950 0.366458 3.060900 0.0449763 0.0499403 0.966844
   58 6394.564   0.492474 6458.05 1762.510 76.7907 1.400200 0.366613 3.061460 0.0450038 0.0499623 0.967178
   59 6394.563   0.492431 6457.61 1761.410 76.8468 1.399260 0.366639 3.060720 0.0450290 0.0499616 0.967261
   60 6394.561   0.492393 6454.39 1759.120 76.9406 1.398040 0.366549 3.058070 0.0450529 0.0499523 0.967117
   61 6394.560   0.492331 6444.01 1753.690 77.1039 1.396800 0.366103 3.050420 0.0450689 0.0499287 0.966411
   62 6394.557   0.492191 6412.99 1739.140 77.3854 1.394970 0.364705 3.028870 0.0450867 0.0498211 0.964075
   63 6394.550   0.492059 6335.67 1706.610 77.8116 1.393090 0.361567 2.979590 0.0451221 0.0496408 0.959102
   64 6394.536   0.491838 6114.22 1617.680 78.5894 1.391210 0.352318 2.842030 0.0451362 0.0490684 0.944377
   65 6394.521   0.491648 5618.74 1430.700 79.6598 1.390820 0.332041 2.546690 0.0451502 0.0478094 0.911984
   66 6394.488   0.491687 5224.42 1291.430 80.0821 1.392510 0.315972 2.320760 0.0451589 0.0467696 0.886090
   67 6394.416   0.491936 4711.50 1121.180 80.1394 1.396340 0.295123 2.037680 0.0451879 0.0453746 0.852245
   68 6394.327   0.492372 4292.69  992.323 79.5684 1.400530 0.278314 1.817590 0.0452780 0.0441896 0.824872
   69 6394.267   0.493411 3922.84  882.010 77.7381 1.405200 0.263568 1.632940 0.0456336 0.0429875 0.802156
   70 6394.180   0.493713 3975.23  897.186 77.1309 1.403030 0.267262 1.666210 0.0459941 0.0431681 0.808883
   71 6394.118   0.493707 4026.02  918.656 76.9303 1.403510 0.270651 1.700650 0.0460493 0.0435742 0.814907
   72 6394.105   0.493631 4038.25  921.661 76.8570 1.403770 0.271315 1.707340 0.0460270 0.0437260 0.816537
   73 6394.104   0.493622 4037.68  921.664 76.8617 1.403730 0.271290 1.707080 0.0460222 0.0437215 0.816451
   74 6394.100   0.491874 4040.70  919.671 76.8490 1.399470 0.271521 1.699940 0.0460757 0.0437469 0.818001
   75 6394.092   0.484021 4036.50  912.740 76.8957 1.376850 0.268995 1.673900 0.0467721 0.0439341 0.827239
   76 6393.833   0.488905 4043.74  911.190 76.6323 1.377310 0.269287 1.667580 0.0469154 0.0440025 0.829761
   77 6393.524   0.494826 4069.69  903.007 76.1753 1.365040 0.269015 1.632450 0.0479662 0.0444037 0.845297
   78 6393.312   0.497320 4102.67  885.625 75.2275 1.337670 0.266733 1.566480 0.0498944 0.0450264 0.872622
   79 6393.222   0.495055 4110.09  877.878 74.8073 1.329810 0.265273 1.540080 0.0507312 0.0452052 0.882537
   80 6393.199   0.492726 4115.86  868.914 74.3868 1.322740 0.263835 1.511800 0.0515963 0.0453500 0.892345
   81 6393.168   0.490607 4113.26  863.757 74.2406 1.326260 0.263146 1.500290 0.0519910 0.0453163 0.894967
   82 6393.144   0.489073 4112.96  853.220 73.9858 1.328460 0.262002 1.475760 0.0527889 0.0453392 0.901993
   83 6393.116   0.488273 4103.73  833.698 73.6629 1.333760 0.259893 1.434860 0.0540115 0.0453606 0.912156
   84 6393.068   0.489544 4092.06  822.859 73.6218 1.331050 0.258951 1.414620 0.0545484 0.0454292 0.917195
   85 6393.030   0.495345 4005.58  779.176 73.6311 1.311890 0.255011 1.338900 0.0561763 0.0456218 0.933304
   86 6392.956   0.494568 3995.68  777.982 73.3738 1.301210 0.254585 1.326590 0.0564421 0.0457415 0.938683
   87 6392.911   0.493650 3952.26  763.155 72.7196 1.274970 0.252356 1.278020 0.0575732 0.0460202 0.955001
   88 6392.848   0.492802 3892.39  756.723 72.2205 1.261040 0.251024 1.253690 0.0579126 0.0460579 0.960978
   89 6392.836   0.492105 3839.71  746.863 71.7824 1.249110 0.249557 1.224250 0.0584665 0.0461233 0.968681
   90 6392.828   0.490442 3634.55  707.009 70.3339 1.213430 0.244226 1.118220 0.0604362 0.0462564 0.994663
   91 6392.827   0.490382 3604.11  699.703 70.1187 1.209620 0.243244 1.101250 0.0607835 0.0462850 0.998770
   92 6392.759   0.491271 3546.25  681.735 69.8929 1.214400 0.240753 1.068480 0.0613936 0.0463492 1.003940
   93 6392.759   0.491371 3534.12  678.025 69.8303 1.213800 0.240204 1.060620 0.0615543 0.0463692 1.005670
   94 6392.737   0.491579 3504.66  668.222 69.9204 1.217700 0.238486 1.042920 0.0617400 0.0463426 1.004880
   95 6392.734   0.491843 3469.17  657.687 69.9422 1.219110 0.236572 1.021810 0.0619790 0.0463362 1.005060
   96 6392.734   0.491856 3466.95  657.037 69.9426 1.219180 0.236453 1.020500 0.0619943 0.0463357 1.005080
   97 6392.710   0.492177 3496.72  667.406 69.9325 1.216780 0.238256 1.040260 0.0616794 0.0463603 1.003260
   98 6392.640   0.493677 3472.20  666.504 70.0626 1.217080 0.237960 1.037480 0.0613347 0.0463788 0.995789
   99 6392.538   0.494432 3398.16  661.758 70.3555 1.223900 0.236577 1.025670 0.0605335 0.0463065 0.975430
  100 6392.517   0.493395 3364.39  656.998 70.4384 1.228070 0.235508 1.015070 0.0604111 0.0462374 0.968076
  101 6392.509   0.492531 3351.01  653.322 70.4302 1.228650 0.234826 1.007320 0.0605440 0.0461955 0.966386
  102 6392.503   0.491983 3338.98  648.424 70.3688 1.226560 0.234056 0.996907 0.0608523 0.0461643 0.966579
  103 6392.492   0.491666 3317.35  639.206 70.1846 1.219700 0.232733 0.977284 0.0615102 0.0461325 0.968628
  104 6392.479   0.491897 3283.49  627.060 69.8646 1.208220 0.231092 0.951207 0.0623911 0.0461101 0.971932
  105 6392.466   0.492498 3239.66  614.788 69.4418 1.194790 0.229517 0.924773 0.0632529 0.0460999 0.975233
  106 6392.457   0.492902 3204.68  608.085 69.1308 1.186540 0.228751 0.910123 0.0636681 0.0461036 0.976508
  107 6392.450   0.492993 3175.73  604.601 68.9256 1.182490 0.228460 0.902229 0.0638065 0.0461271 0.976519
  108 6392.444   0.492745 3160.29  605.059 68.8488 1.182330 0.228757 0.903302 0.0636711 0.0461680 0.975319
  109 6392.437   0.492335 3142.89  604.788 68.8147 1.183030 0.229034 0.902812 0.0635801 0.0462377 0.974125
  110 6392.428   0.491741 3139.22  608.988 68.8890 1.186620 0.230163 0.913620 0.0632199 0.0463428 0.971768
  111 6392.412   0.491248 3119.74  610.327 68.9945 1.190060 0.231312 0.920426 0.0629966 0.0465177 0.968952
  112 6392.388   0.491213 3096.80  611.806 69.1702 1.194240 0.233213 0.931729 0.0628228 0.0467659 0.966163
  113 6392.375   0.491915 3078.25  609.433 69.1982 1.193820 0.233846 0.931999 0.0629723 0.0468462 0.966097
  114 6392.370   0.492598 3068.82  607.523 69.1700 1.192440 0.234039 0.930830 0.0631032 0.0468243 0.967139
  115 6392.365   0.493070 3062.35  607.026 69.1436 1.191680 0.234465 0.932863 0.0631193 0.0467766 0.968365
  116 6392.359   0.493501 3063.57  608.404 69.1427 1.191920 0.235221 0.940399 0.0629689 0.0466394 0.970799
  117 6392.349   0.493614 3063.68  611.648 69.1655 1.193390 0.236780 0.956248 0.0625890 0.0464302 0.974964
  118 6392.341   0.493201 3061.48  614.530 69.2188 1.195790 0.238123 0.970875 0.0621818 0.0462869 0.978733
  119 6392.335   0.492549 3051.97  615.227 69.2631 1.197710 0.238957 0.979829 0.0618916 0.0462136 0.982671
  120 6392.326   0.491783 3026.11  613.164 69.3150 1.199810 0.239708 0.986481 0.0616122 0.0461492 0.989826
  121 6392.314   0.491146 2984.31  607.088 69.3450 1.201300 0.240127 0.987786 0.0614627 0.0461053 1.002520
  122 6392.292   0.490781 2897.64  593.807 69.4155 1.204430 0.240944 0.988415 0.0612461 0.0460559 1.031030
  123 6392.278   0.491343 2838.87  581.099 69.4000 1.204810 0.240711 0.980624 0.0613757 0.0460344 1.057790
  124 6392.274   0.492319 2840.26  579.521 69.4027 1.204780 0.240592 0.978961 0.0614854 0.0460472 1.065250
  125 6392.274   0.492480 2844.87  579.963 69.3888 1.204340 0.240510 0.978472 0.0615189 0.0460493 1.064500
