"Scenario","Iter","Parameter","Value"
"WorkFlow",27,"-2LL",6592.97568
"WorkFlow",27,"CMultStdev",0.588284
"WorkFlow",27,"tvVmax",3584.91
"WorkFlow",27,"tvKm",2097.64
"WorkFlow",27,"tvV",58.6868
"WorkFlow",27,"tvKa",0.761709
"WorkFlow",27,"K12",2.59911
"WorkFlow",27,"K21",2.54652
"WorkFlow",28,"-2LL",6534.86348
"WorkFlow",28,"CMultStdev",0.572682
"WorkFlow",28,"tvVmax",3887.69
"WorkFlow",28,"tvKm",2019.98
"WorkFlow",28,"tvV",58.2961
"WorkFlow",28,"tvKa",0.762661
"WorkFlow",28,"K12",2.57398
"WorkFlow",28,"K21",2.66292
"WorkFlow",29,"-2LL",6533.62968
"WorkFlow",29,"CMultStdev",0.572437
"WorkFlow",29,"tvVmax",3878.47
"WorkFlow",29,"tvKm",2024.43
"WorkFlow",29,"tvV",58.448
"WorkFlow",29,"tvKa",0.762614
"WorkFlow",29,"K12",2.58375
"WorkFlow",29,"K21",2.65205
"WorkFlow",30,"-2LL",6527.03608
"WorkFlow",30,"CMultStdev",0.562385
"WorkFlow",30,"tvVmax",3941.18
"WorkFlow",30,"tvKm",2012.73
"WorkFlow",30,"tvV",60.3414
"WorkFlow",30,"tvKa",0.76318
"WorkFlow",30,"K12",2.70629
"WorkFlow",30,"K21",2.59422
"WorkFlow",31,"-2LL",6519.33372
"WorkFlow",31,"CMultStdev",0.560451
"WorkFlow",31,"tvVmax",3951.16
"WorkFlow",31,"tvKm",2007.21
"WorkFlow",31,"tvV",59.7559
"WorkFlow",31,"tvKa",0.764418
"WorkFlow",31,"K12",2.66748
"WorkFlow",31,"K21",2.58831
"WorkFlow",32,"-2LL",6515.2813
"WorkFlow",32,"CMultStdev",0.548233
"WorkFlow",32,"tvVmax",4012.44
"WorkFlow",32,"tvKm",1988.08
"WorkFlow",32,"tvV",59.6097
"WorkFlow",32,"tvKa",0.763574
"WorkFlow",32,"K12",2.65527
"WorkFlow",32,"K21",2.52552
"WorkFlow",33,"-2LL",6515.17078
"WorkFlow",33,"CMultStdev",0.546364
"WorkFlow",33,"tvVmax",4006.73
"WorkFlow",33,"tvKm",1984.44
"WorkFlow",33,"tvV",59.5122
"WorkFlow",33,"tvKa",0.764389
"WorkFlow",33,"K12",2.6487
"WorkFlow",33,"K21",2.5205
"WorkFlow",34,"-2LL",6514.87358
"WorkFlow",34,"CMultStdev",0.542363
"WorkFlow",34,"tvVmax",3992.97
"WorkFlow",34,"tvKm",1979.43
"WorkFlow",34,"tvV",59.4244
"WorkFlow",34,"tvKa",0.766615
"WorkFlow",34,"K12",2.64315
"WorkFlow",34,"K21",2.51371
"WorkFlow",35,"-2LL",6514.07272
"WorkFlow",35,"CMultStdev",0.517134
"WorkFlow",35,"tvVmax",3888.32
"WorkFlow",35,"tvKm",1943.08
"WorkFlow",35,"tvV",58.733
"WorkFlow",35,"tvKa",0.781239
"WorkFlow",35,"K12",2.60031
"WorkFlow",35,"K21",2.46728
"WorkFlow",36,"-2LL",6514.02668
"WorkFlow",36,"CMultStdev",0.513489
"WorkFlow",36,"tvVmax",3861.93
"WorkFlow",36,"tvKm",1934.97
"WorkFlow",36,"tvV",58.5946
"WorkFlow",36,"tvKa",0.782614
"WorkFlow",36,"K12",2.59064
"WorkFlow",36,"K21",2.45982
"WorkFlow",37,"-2LL",6513.72854
