
 WorkFlow
Start 2024-10-22 09:28:56  Run : 19.4333333333333 nSubj: 60 nObs : 480
   69 6654.930 1.253640   0.482959 7668.43 1553.130 76.7745 1.394180 0.2587610 2.29622 0.0447804 0.0382415
   70 6654.324 1.273040   0.481501 7385.01 1441.730 76.0723 1.380800 0.2546430 2.25955 0.0447976 0.0376576
   71 6653.395 1.305440   0.480697 6910.37 1292.490 76.0841 1.383020 0.2478040 2.19834 0.0442087 0.0377055
   72 6652.278 1.341690   0.481715 6407.90 1168.440 77.3970 1.411360 0.2409690 2.13343 0.0431398 0.0387382
   73 6652.179 1.440840   0.484113 6158.25  979.749 80.3297 1.469200 0.2190670 2.00788 0.0397373 0.0405366
   74 6650.580 1.460450   0.487587 6081.55 1002.040 82.8191 1.516060 0.2177300 1.99825 0.0389682 0.0423527
   75 6649.904 1.505650   0.486316 6121.48  948.889 83.0689 1.520280 0.2078740 1.96461 0.0377892 0.0425866
   76 6649.448 1.555410   0.485178 6106.17  891.222 83.2338 1.523020 0.1974740 1.92933 0.0366041 0.0428764
   77 6648.954 1.622160   0.482356 6209.51  846.654 82.3227 1.509050 0.1842960 1.90580 0.0351638 0.0429094
   78 6648.594 1.639570   0.481681 6242.40  849.138 81.5023 1.496810 0.1803060 1.91035 0.0346610 0.0429798
   79 6648.197 1.714240   0.482565 5957.39  768.055 81.7401 1.503460 0.1642990 1.85786 0.0326591 0.0442539
   80 6647.972 1.730090   0.483239 5872.74  755.729 82.4738 1.519970 0.1605560 1.84305 0.0322302 0.0449376
   81 6647.844 1.788710   0.483116 5798.05  713.291 83.6002 1.546100 0.1493510 1.80407 0.0310856 0.0459901
   82 6647.778 1.804940   0.482765 5824.91  704.116 84.0092 1.553320 0.1454630 1.79367 0.0310986 0.0460160
   83 6647.766 1.822320   0.482702 5793.76  686.277 84.1414 1.554000 0.1407930 1.78058 0.0310382 0.0459988
   84 6647.761 1.819440   0.482780 5800.84  686.122 84.0245 1.551230 0.1401680 1.78091 0.0311954 0.0458302
   85 6647.761 1.820500   0.482797 5805.83  685.593 84.0288 1.551820 0.1396420 1.77996 0.0311585 0.0458512
   86 6647.760 1.822660   0.482802 5818.18  684.717 84.0640 1.554210 0.1382100 1.77729 0.0310207 0.0459590
   87 6647.760 1.823760   0.482808 5832.44  684.811 84.0995 1.556300 0.1369760 1.77529 0.0308803 0.0460761
   88 6647.760 1.825750   0.482802 5858.56  685.113 84.1888 1.560260 0.1346320 1.77149 0.0305963 0.0463359
   89 6647.757 1.826770   0.482798 5871.55  685.408 84.2434 1.562040 0.1334590 1.76975 0.0304460 0.0464988
   90 6647.740 1.831350   0.482781 5900.04  685.063 84.4083 1.566180 0.1303480 1.76517 0.0300496 0.0470113
   91 6647.694 1.841300   0.482774 5928.40  682.176 84.6308 1.570100 0.1261010 1.75933 0.0295479 0.0478490
   92 6647.562 1.866990   0.482707 5960.85  672.466 84.9853 1.574890 0.1186210 1.75051 0.0287627 0.0497224
   93 6647.268 1.918740   0.482675 5972.08  650.199 85.3766 1.578320 0.1081570 1.74224 0.0279142 0.0533614
   94 6646.822 1.981050   0.482767 5964.83  629.530 85.2627 1.570560 0.1014370 1.75962 0.0278275 0.0593244
   95 6646.719 2.005070   0.482737 5939.61  616.402 85.3470 1.571700 0.0984009 1.75670 0.0277718 0.0607109
   96 6646.425 2.069330   0.482814 5809.36  579.058 85.1270 1.570280 0.0968368 1.76613 0.0288782 0.0644118
   97 6646.137 2.079150   0.482891 5740.16  569.087 84.5671 1.564590 0.1049430 1.78376 0.0305751 0.0638271
   98 6645.756 2.094180   0.483013 5638.58  552.762 83.2620 1.544860 0.1225070 1.81674 0.0337852 0.0614782
   99 6645.510 2.079010   0.482828 5428.80  541.123 81.1371 1.499540 0.1548000 1.87387 0.0383925 0.0576866
  100 6645.282 2.073530   0.482631 5473.49  548.989 81.3019 1.496500 0.1491500 1.87654 0.0373974 0.0598339
  101 6644.964 2.040920   0.482268 5420.06  563.097 80.2652 1.463920 0.1663350 1.92367 0.0387586 0.0605955
  102 6644.904 1.999910   0.482183 5419.49  580.455 79.9786 1.456420 0.1763590 1.94355 0.0391964 0.0602538
  103 6644.895 2.000430   0.482227 5438.94  580.509 80.1570 1.461570 0.1733640 1.93745 0.0389184 0.0603649
  104 6644.894 1.999240   0.482272 5445.13  579.172 80.2345 1.466140 0.1719850 1.93368 0.0389461 0.0603277
  105 6644.894 1.997770   0.482281 5450.87  579.114 80.2459 1.467720 0.1717710 1.93312 0.0389967 0.0603270
  106 6644.893 1.996430   0.482286 5455.38  578.951 80.2374 1.468420 0.1717180 1.93293 0.0390630 0.0603058
  107 6644.892 1.994980   0.482288 5461.07  578.832 80.2297 1.468800 0.1716450 1.93271 0.0391206 0.0602904
  108 6644.892 1.993960   0.482287 5468.90  578.651 80.2416 1.469200 0.1712980 1.93180 0.0391309 0.0602996
  109 6644.891 1.994250   0.482262 5476.71  578.200 80.2606 1.469060 0.1707140 1.93048 0.0390932 0.0603657
  110 6644.890 1.995610   0.482231 5483.36  577.690 80.2978 1.468690 0.1699060 1.92847 0.0389930 0.0604701
  111 6644.887 1.998420   0.482177 5489.33  576.960 80.3453 1.467800 0.1688910 1.92580 0.0388475 0.0606818
  112 6644.875 2.002750   0.482101 5493.60  575.672 80.3826 1.465790 0.1678710 1.92237 0.0387267 0.0610642
  113 6644.840 2.008530   0.481979 5494.41  573.166 80.3466 1.460950 0.1673580 1.91783 0.0387998 0.0618220
  114 6644.753 2.013180   0.481817 5483.25  568.023 80.0704 1.450180 0.1693210 1.91318 0.0396085 0.0631741
  115 6644.570 2.009480   0.481627 5448.13  558.420 79.2014 1.427690 0.1779410 1.91241 0.0422800 0.0653167
  116 6644.307 1.989240   0.481524 5397.05  547.752 77.8029 1.400780 0.1943540 1.92025 0.0469891 0.0672310
  117 6644.018 1.957720   0.481592 5340.60  537.810 76.2294 1.377640 0.2131800 1.93569 0.0526798 0.0678051
  118 6643.872 1.937940   0.481786 5320.12  533.758 75.3180 1.365910 0.2221170 1.95115 0.0559236 0.0671428
  119 6643.775 1.932720   0.481894 5257.51  528.705 74.2213 1.338620 0.2369540 1.97938 0.0593238 0.0676673
  120 6643.775 1.933640   0.481888 5261.05  529.040 74.2852 1.339780 0.2360080 1.97800 0.0590981 0.0676725
  121 6643.771 1.934520   0.481851 5266.61  529.858 74.3632 1.340380 0.2347200 1.97542 0.0588204 0.0677588
  122 6643.770 1.935760   0.481833 5264.71  529.703 74.3871 1.340370 0.2342490 1.97398 0.0587486 0.0678373
  123 6643.770 1.936530   0.481823 5263.91  529.726 74.3978 1.340290 0.2340930 1.97341 0.0587209 0.0679077
  124 6643.770 1.937080   0.481820 5262.39  529.600 74.4034 1.340280 0.2340300 1.97302 0.0587143 0.0679445
  125 6643.770 1.937080   0.481820 5262.39  529.600 74.4034 1.340280 0.2340300 1.97302 0.0587143 0.0679445
  126 6643.766 1.938180   0.481204 5257.44  529.552 74.4882 1.338320 0.2342700 1.97078 0.0586762 0.0677478
  127 6643.764 1.938730   0.480826 5249.27  529.624 74.5357 1.336710 0.2342960 1.96914 0.0586608 0.0675674
  128 6643.763 1.937580   0.480978 5243.73  529.371 74.5128 1.335610 0.2344230 1.96745 0.0586166 0.0673967
  129 6643.761 1.935950   0.482048 5227.13  529.150 74.5340 1.332960 0.2347520 1.96397 0.0585816 0.0669241
  130 6643.751 1.930300   0.481918 5213.38  528.860 74.4996 1.332740 0.2350170 1.96554 0.0586838 0.0665374
  131 6643.738 1.922900   0.482563 5196.99  528.972 74.4454 1.334850 0.2356760 1.97147 0.0589415 0.0659127
  132 6643.730 1.910060   0.481438 5178.78  528.479 74.3045 1.338770 0.2362850 1.97924 0.0592289 0.0652104
  133 6643.726 1.901150   0.481567 5162.59  527.756 74.2658 1.339630 0.2368240 1.98555 0.0594190 0.0644628
  134 6643.717 1.909350   0.481694 5182.25  527.926 74.2995 1.337910 0.2361930 1.98064 0.0592411 0.0652006
  135 6643.703 1.909640   0.481770 5192.90  527.705 74.2698 1.338340 0.2360220 1.98098 0.0593193 0.0654725
  136 6643.653 1.894420   0.482086 5230.65  525.273 74.2384 1.341860 0.2358730 1.99050 0.0601854 0.0658632
  137 6643.616 1.871990   0.481843 5253.94  522.110 74.1337 1.347460 0.2363540 2.00391 0.0613669 0.0651139
  138 6643.569 1.831690   0.481829 5280.69  516.477 74.2198 1.349830 0.2371150 2.02597 0.0632478 0.0633247
  139 6643.532 1.802270   0.481500 5303.75  511.292 74.1458 1.348850 0.2376820 2.04335 0.0648987 0.0610729
  140 6643.514 1.788780   0.481842 5333.01  508.175 74.2018 1.340330 0.2372430 2.05272 0.0657155 0.0601337
  141 6643.505 1.789180   0.481977 5367.69  506.876 74.0590 1.334170 0.2365190 2.05604 0.0661138 0.0599766
  142 6643.493 1.796870   0.482188 5425.26  506.402 73.8125 1.325220 0.2351650 2.05739 0.0664309 0.0603817
  143 6643.486 1.798720   0.482103 5466.49  506.466 73.6735 1.323020 0.2343880 2.05772 0.0667377 0.0607109
  144 6643.471 1.789390   0.481895 5599.27  505.864 73.3811 1.319780 0.2323630 2.06284 0.0682053 0.0612144
  145 6643.461 1.783440   0.481902 5662.97  507.607 73.3283 1.320990 0.2315110 2.06053 0.0687647 0.0616029
  146 6643.453 1.769460   0.481828 5736.68  509.143 73.3345 1.322800 0.2305850 2.05941 0.0695280 0.0616767
  147 6643.443 1.760950   0.481947 5784.89  513.422 73.4445 1.325000 0.2298850 2.05069 0.0695655 0.0619265
  148 6643.430 1.751870   0.482032 5840.66  519.909 73.5286 1.325660 0.2289040 2.03857 0.0693221 0.0621677
  149 6643.413 1.746700   0.482128 5907.57  530.809 73.6043 1.324020 0.2273750 2.01842 0.0684381 0.0627558
  150 6643.397 1.742300   0.482077 6011.85  541.713 73.5154 1.318780 0.2250690 2.00119 0.0678532 0.0633764
  151 6643.371 1.728250   0.481914 6254.89  560.070 73.2440 1.306880 0.2200360 1.97719 0.0675698 0.0642601
  152 6643.346 1.715430   0.481732 6495.28  576.493 73.0439 1.298370 0.2149780 1.95689 0.0674722 0.0649952
  153 6643.319 1.680100   0.481530 6900.82  598.689 72.8287 1.291050 0.2071700 1.93467 0.0683294 0.0654796
  154 6643.299 1.666580   0.481510 7279.71  621.659 72.8905 1.290560 0.1991180 1.90337 0.0683501 0.0665253
  155 6643.275 1.635680   0.481872 7558.09  630.528 72.8875 1.290080 0.1947540 1.89936 0.0699747 0.0664999
  156 6643.261 1.641790   0.482097 7402.81  619.076 73.0577 1.295270 0.1976740 1.91477 0.0702269 0.0661037
  157 6643.256 1.632660   0.482093 7495.07  622.029 73.0940 1.296360 0.1958740 1.91627 0.0706970 0.0660349
  158 6643.250 1.622080   0.481963 7595.45  624.836 73.0993 1.296710 0.1934760 1.92488 0.0711726 0.0656130
  159 6643.244 1.615460   0.481861 7664.32  627.681 73.1424 1.297130 0.1913070 1.93530 0.0711947 0.0653618
  160 6643.237 1.610730   0.481714 7747.41  630.723 73.2119 1.298730 0.1881360 1.95388 0.0709557 0.0650692
