[15:28:43] Model run priority is below_normal
[15:28:43] Using darwin.MemoryModelCache
[15:28:43] Writing intermediate output to d:/git/adpoBenchmark/data/pydarwin_makedata/output\results.csv
[15:28:43] Models will be saved in d:/git/adpoBenchmark/data/pydarwin_makedata/working\models.json
[15:28:43] Template file found at template.txt
[15:28:43] Tokens file found at tokens.json
[15:28:43] Algorithm: EX
[15:28:43] Engine: NONMEM
[15:28:43] random_seed: 11
[15:28:43] Project dir: d:\git\ADPOBenchmark\data\pyDarwin_makedata
[15:28:43] Data dir: d:\git\ADPOBenchmark\data\pyDarwin_makedata
[15:28:43] Project working dir: d:/git/adpoBenchmark/data/pydarwin_makedata/working
[15:28:43] Project temp dir: d:/git/adpoBenchmark/data/pydarwin_makedata/run
[15:28:43] Project output dir: d:/git/adpoBenchmark/data/pydarwin_makedata/output
[15:28:43] Key models dir: d:/git/adpoBenchmark/data/pydarwin_makedata/working\key_models
[15:28:43] Search space size: 72
[15:28:43] NMFE found: c:/nm74g64/util/nmfe74.bat
[15:28:43] Search start time: Sun Sep  8 15:28:43 2024
[15:28:43] Not using Post Run R code
[15:28:43] Not using Post Run Python code
[15:28:43] Checking files in d:\git\adpoBenchmark\data\pydarwin_makedata\run\0\03
[15:28:43] Data set # 1 was found: ..\..\..\data_sim.csv
[15:35:52] Iteration =     0, Model    43,           Done,    fitness =  99999999,    message = No important warnings
[15:35:59] Iteration =     0, Model    44,           Done,    fitness =  99999999,    message = No important warnings
[15:36:11] Iteration =     0, Model    45,           Done,    fitness =  99999999,    message = No important warnings
[15:36:13] Iteration =     0, Model    46,           Done,    fitness =  99999999,    message = No important warnings
[15:36:31] Iteration =     0, Model    47,           Done,    fitness =  99999999,    message = No important warnings
[15:36:41] Iteration =     0, Model    48,           Done,    fitness =  99999999,    message = No important warnings
[15:36:49] Iteration =     0, Model    49,           Done,    fitness =  99999999,    message = No important warnings
[15:37:01] Iteration =     0, Model    50,           Done,    fitness =  99999999,    message = No important warnings
[15:37:11] Iteration =     0, Model    51,           Done,    fitness =  99999999,    message = No important warnings
[15:37:19] Iteration =     0, Model    52,           Done,    fitness =  99999999,    message = No important warnings
[15:37:29] Iteration =     0, Model    53,           Done,    fitness =  99999999,    message = No important warnings
[15:37:38] Iteration =     0, Model    54,           Done,    fitness =  99999999,    message = No important warnings
[15:37:47] Iteration =     0, Model    55,           Done,    fitness =  99999999,    message = No important warnings
[15:37:59] Iteration =     0, Model    56,           Done,    fitness =  99999999,    message = No important warnings
[15:38:08] Iteration =     0, Model    57,           Done,    fitness =  99999999,    message = No important warnings
[15:38:18] Iteration =     0, Model    58,           Done,    fitness =  99999999,    message = No important warnings
[15:38:27] Iteration =     0, Model    59,           Done,    fitness =  99999999,    message = No important warnings
[15:38:35] Iteration =     0, Model    60,           Done,    fitness =  99999999,    message = No important warnings
[15:38:47] Iteration =     0, Model    61,           Done,    fitness =  99999999,    message = No important warnings
[15:38:48] Iteration =     0, Model    62,           Done,    fitness =  99999999,    message = No important warnings
[15:39:06] Iteration =     0, Model    63,           Done,    fitness =  99999999,    message = No important warnings
[15:39:24] Iteration =     0, Model    64,           Done,    fitness =  99999999,    message = No important warnings
[15:39:26] Iteration =     0, Model    65,           Done,    fitness =  99999999,    message = No important warnings
[15:39:44] Iteration =     0, Model    66,           Done,    fitness =  99999999,    message = No important warnings
[15:39:45] Iteration =     0, Model    67,           Done,    fitness =  99999999,    message = No important warnings
[15:39:56] Iteration =     0, Model    68,           Done,    fitness =  99999999,    message = No important warnings
[15:40:06] Iteration =     0, Model    69,           Done,    fitness =  99999999,    message = No important warnings
[15:40:11] Iteration =     0, Model    70,           Done,    fitness =  99999999,    message = No important warnings
[15:40:18] Iteration =     0, Model    71,           Done,    fitness =  99999999,    message = No important warnings
[15:40:22] Iteration =     0, Model    72,           Done,    fitness =  99999999,    message = No important warnings
[15:40:22] Elapsed time: 11.6 minutes 

[15:40:22] Search end time: Sun Sep  8 15:40:22 2024

