
 WorkFlow
Start 2024-10-22 13:42:00  Run : 39.9666666666667 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm      tvV     tvKa      K12      K21       K13       K31    dVdWT
   65 6677.857 1.966400   0.495534 8080.75 1198.280  73.8607 1.417870 0.272413 2.557020 0.0303108 0.0568535 0.814948
   66 6677.403 2.026640   0.498002 8174.18 1161.450  74.5166 1.408190 0.252698 2.514950 0.0269472 0.0587755 0.805613
   67 6677.252 2.077590   0.499813 8264.16 1125.360  75.3269 1.409340 0.234371 2.472450 0.0240217 0.0608482 0.795726
   68 6677.202 2.099400   0.500344 8291.77 1111.890  75.9759 1.422210 0.222031 2.446820 0.0222502 0.0627462 0.787747
   69 6677.202 2.116930   0.500170 8325.48 1098.280  76.2747 1.429170 0.215898 2.430740 0.0213705 0.0635379 0.784060
   70 6677.202 2.120820   0.500036 8332.52 1095.100  76.3687 1.432340 0.213973 2.426260 0.0211229 0.0638176 0.782852
   71 6677.201 2.124930   0.499884 8340.12 1091.620  76.4634 1.435540 0.211950 2.421600 0.0208682 0.0641021 0.781630
   72 6677.201 2.126390   0.499829 8342.84 1090.320  76.4990 1.436750 0.211190 2.419880 0.0207752 0.0642082 0.781180
   73 6677.201 2.130000   0.499683 8349.50 1087.050  76.5836 1.439570 0.209311 2.415710 0.0205471 0.0644656 0.780104
   74 6677.201 2.131380   0.499632 8351.94 1085.820  76.6152 1.440590 0.208606 2.414150 0.0204617 0.0645616 0.779708
   75 6677.201 2.134740   0.499511 8357.78 1082.640  76.7002 1.443390 0.206769 2.410130 0.0202446 0.0648145 0.778689
   76 6677.201 2.136160   0.499457 8360.15 1081.310  76.7328 1.444460 0.206014 2.408510 0.0201551 0.0649165 0.778287
   77 6677.201 2.140070   0.499335 8366.33 1077.710  76.8217 1.447270 0.204000 2.404140 0.0199153 0.0651899 0.777225
   78 6677.200 2.143760   0.499204 8371.60 1074.360  76.9051 1.449870 0.202070 2.400060 0.0196857 0.0654549 0.776232
   79 6677.200 2.148010   0.499069 8377.29 1070.540  76.9966 1.452590 0.199895 2.395520 0.0194272 0.0657507 0.775154
   80 6677.200 2.150530   0.499011 8380.37 1068.450  77.0475 1.453940 0.198715 2.393020 0.0192833 0.0659120 0.774574
   81 6677.200 2.166910   0.498632 8397.04 1055.390  77.3946 1.463320 0.191018 2.376780 0.0183440 0.0670175 0.770751
   82 6677.200 2.167030   0.498629 8397.14 1055.290  77.3973 1.463390 0.190959 2.376660 0.0183369 0.0670262 0.770723
   83 6676.913 2.140880   0.495381 7933.44 1016.650  76.8460 1.449490 0.192270 2.337010 0.0180452 0.0667016 0.788035
   84 6674.532 2.202290   0.495063 6802.33  958.877  76.7430 1.425780 0.188876 2.291390 0.0178623 0.0657829 0.830524
   85 6672.739 2.350520   0.486655 5788.11  809.098  78.9517 1.432660 0.182720 2.213920 0.0178642 0.0636976 0.892249
   86 6671.764 2.412460   0.501392 5455.42  728.555  78.4302 1.460730 0.177053 2.196250 0.0180158 0.0630442 0.920651
   87 6670.849 2.424590   0.492085 5397.56  669.441  77.9473 1.508630 0.165494 2.229220 0.0185399 0.0635767 0.933896
   88 6670.264 2.396220   0.492174 4856.88  591.598  79.7449 1.546430 0.149818 2.235770 0.0190935 0.0650558 0.960778
   89 6669.811 2.344760   0.497827 5209.76  624.983  82.5375 1.574450 0.148848 2.249110 0.0194280 0.0671476 0.936287
   90 6669.304 2.407630   0.495176 5070.20  604.655  81.3852 1.596810 0.148897 2.230850 0.0194633 0.0677398 0.944447
   91 6668.919 2.493050   0.492143 4757.00  557.763  80.8598 1.631160 0.144864 2.196570 0.0196323 0.0691488 0.960566
   92 6668.511 2.573660   0.491051 4501.52  523.783  81.1987 1.667420 0.140733 2.154010 0.0199322 0.0721159 0.963264
   93 6668.082 2.653130   0.493633 4433.85  496.799  82.7259 1.683320 0.137351 2.118570 0.0202512 0.0763593 0.955179
   94 6667.934 2.691450   0.494821 4451.40  508.911  82.8409 1.663590 0.138911 2.084460 0.0203993 0.0808361 0.932294
   95 6667.751 2.682820   0.494495 4456.38  507.136  82.1960 1.644140 0.140142 2.099020 0.0203293 0.0799241 0.934897
   96 6667.642 2.690780   0.493266 4427.86  506.617  81.6544 1.609320 0.142862 2.096360 0.0202826 0.0804346 0.935178
   97 6667.502 2.702120   0.492692 4452.81  512.232  80.8736 1.559050 0.147232 2.087200 0.0203561 0.0830537 0.922541
   98 6667.378 2.701640   0.492554 4474.10  516.917  80.6276 1.545740 0.149854 2.075990 0.0205352 0.0853751 0.914072
   99 6667.208 2.700770   0.492270 4518.66  526.735  80.1164 1.518110 0.155407 2.052590 0.0209139 0.0903463 0.896477
  100 6667.069 2.689240   0.492112 4533.52  536.691  79.7934 1.513860 0.159705 2.021390 0.0212493 0.0935928 0.886188
  101 6666.917 2.674010   0.492465 4548.18  554.249  79.2813 1.504620 0.169137 1.944630 0.0220325 0.0993541 0.871515
  102 6666.798 2.681070   0.492415 4500.66  543.866  79.6178 1.527480 0.164608 1.934460 0.0222173 0.0987265 0.878157
  103 6666.690 2.691620   0.492411 4480.80  537.532  79.6563 1.532240 0.164036 1.895910 0.0227333 0.1001750 0.879494
  104 6666.566 2.771430   0.490816 4383.48  505.705  78.9153 1.524330 0.161211 1.735760 0.0247130 0.1069650 0.883516
  105 6666.449 2.741520   0.491216 4451.66  518.514  78.5589 1.516470 0.162847 1.724800 0.0248479 0.1064550 0.883236
  106 6666.312 2.730660   0.491851 4517.01  526.514  77.7893 1.489840 0.165312 1.643260 0.0258375 0.1080040 0.882994
  107 6666.209 2.713800   0.492376 4589.09  536.655  76.9455 1.458480 0.168779 1.553090 0.0270911 0.1103860 0.881247
  108 6666.145 2.693970   0.492130 4601.93  536.210  76.5052 1.445470 0.167795 1.476910 0.0283387 0.1100980 0.890702
  109 6666.029 2.671330   0.492502 4609.40  537.727  75.5728 1.404880 0.168925 1.345400 0.0306731 0.1110230 0.902831
  110 6665.974 2.665310   0.492397 4592.92  537.345  75.0306 1.385390 0.169743 1.274540 0.0320056 0.1118780 0.908014
  111 6665.920 2.658610   0.492288 4559.63  535.637  74.3751 1.360300 0.170461 1.189360 0.0337326 0.1125070 0.915746
  112 6665.784 2.627110   0.492340 4518.93  538.803  73.2456 1.304080 0.171788 1.081450 0.0366581 0.1109430 0.931305
  113 6665.711 2.604070   0.491729 4438.70  545.295  72.5487 1.265250 0.174605 1.058900 0.0380982 0.1072120 0.940076
  114 6665.554 2.616140   0.490135 4240.39  541.364  71.1909 1.238010 0.179093 0.966567 0.0410803 0.1076790 0.948681
  115 6665.387 2.652670   0.489495 4131.93  528.495  71.3586 1.273100 0.179406 1.002170 0.0407921 0.1101480 0.939987
  116 6665.281 2.655590   0.489607 4142.84  523.313  71.1145 1.268540 0.178760 0.967961 0.0419807 0.1105430 0.944813
  117 6665.205 2.654820   0.489566 4131.43  516.621  70.6018 1.255640 0.178414 0.917673 0.0439390 0.1102810 0.952847
  118 6665.145 2.666340   0.490146 4104.90  496.522  69.7756 1.251830 0.177141 0.856402 0.0472825 0.1104170 0.964977
  119 6665.098 2.660590   0.489983 4079.26  490.328  69.2948 1.236530 0.177798 0.843430 0.0487296 0.1083790 0.973704
  120 6665.006 2.662640   0.489549 3980.38  485.323  69.0249 1.226350 0.180998 0.868507 0.0493665 0.1060300 0.979718
  121 6665.000 2.656670   0.489453 3911.98  480.345  68.5342 1.213330 0.183323 0.861633 0.0509103 0.1037470 0.988218
  122 6664.992 2.642850   0.488883 3791.22  469.053  67.2576 1.181270 0.186940 0.811721 0.0552009 0.1015410 0.995013
  123 6664.989 2.627030   0.488773 3785.71  466.109  66.9393 1.169990 0.187621 0.803233 0.0565277 0.0997968 0.995660
  124 6664.988 2.620580   0.488687 3779.83  464.696  66.8148 1.166030 0.187972 0.801092 0.0570553 0.0990536 0.994709
  125 6664.917 2.659240   0.489223 3899.00  470.796  68.0658 1.205050 0.182838 0.834521 0.0526469 0.1050060 0.980920
  126 6664.852 2.648280   0.488692 3896.02  467.724  67.8131 1.193080 0.183458 0.826956 0.0538223 0.1038530 0.971936
  127 6664.640 2.628240   0.487341 3853.36  450.521  66.7010 1.151880 0.185764 0.775604 0.0594334 0.1014660 0.921547
  128 6664.531 2.635020   0.487248 3871.83  448.072  66.7212 1.150730 0.185570 0.777495 0.0597834 0.1025180 0.881214
  129 6664.402 2.660790   0.487903 3879.44  445.145  66.8163 1.160100 0.184853 0.768403 0.0601701 0.1061910 0.823957
  130 6664.360 2.672650   0.488534 3892.27  447.392  66.9013 1.166860 0.184148 0.762540 0.0599357 0.1087030 0.805520
  131 6664.326 2.678300   0.488917 3902.81  448.925  66.7664 1.166160 0.183443 0.747017 0.0603668 0.1111500 0.799540
  132 6664.287 2.679240   0.489080 3942.42  453.477  66.6284 1.163080 0.181926 0.728086 0.0606103 0.1142810 0.804090
  133 6664.232 2.673200   0.488910 3973.64  455.222  66.1504 1.149630 0.180503 0.695815 0.0621218 0.1172200 0.819088
  134 6664.161 2.664240   0.488421 4056.27  461.533  65.6539 1.131920 0.177510 0.658059 0.0634945 0.1219010 0.850128
  135 6664.115 2.656550   0.488000 4067.18  457.299  64.7628 1.106530 0.176350 0.611043 0.0671120 0.1244540 0.870938
  136 6664.075 2.661520   0.487906 4076.50  456.608  64.8335 1.108060 0.175579 0.614108 0.0670179 0.1247350 0.887473
  137 6664.063 2.666570   0.488087 4060.41  454.388  64.7911 1.109310 0.175772 0.609729 0.0675579 0.1244930 0.887622
  138 6664.059 2.671070   0.488340 4043.73  452.353  64.6891 1.108420 0.176089 0.606601 0.0680738 0.1244250 0.888316
  139 6664.058 2.673750   0.488446 4043.42  452.334  64.6850 1.108790 0.176132 0.606303 0.0681003 0.1245900 0.887902
  140 6664.053 2.681480   0.488709 4041.42  451.448  64.5670 1.107070 0.176395 0.603228 0.0685643 0.1252150 0.888346
  141 6664.046 2.687900   0.488876 4041.13  451.087  64.4903 1.106440 0.176885 0.603519 0.0688317 0.1256370 0.889345
  142 6664.033 2.695350   0.488980 4033.41  450.319  64.3170 1.104120 0.178276 0.605670 0.0694395 0.1259120 0.892563
  143 6664.020 2.697570   0.488908 4021.44  450.166  64.1905 1.102420 0.179940 0.610943 0.0698491 0.1256620 0.896292
  144 6664.008 2.699130   0.488677 4000.30  450.589  64.1046 1.101690 0.182251 0.620111 0.0701074 0.1253310 0.898067
  145 6664.003 2.698890   0.488535 3986.44  451.910  64.1698 1.103670 0.183260 0.627054 0.0697528 0.1251960 0.896964
  146 6664.000 2.700680   0.488452 3975.55  453.754  64.2661 1.105670 0.183806 0.631561 0.0692772 0.1255520 0.897194
  147 6663.998 2.704660   0.488467 3970.99  454.921  64.3591 1.107500 0.184006 0.634585 0.0688812 0.1260910 0.894759
  148 6663.996 2.709180   0.488538 3969.84  456.114  64.4174 1.108440 0.184279 0.637073 0.0686103 0.1267050 0.893045
  149 6663.990 2.715390   0.488644 3969.50  457.422  64.4023 1.107570 0.185019 0.639465 0.0686178 0.1276420 0.892199
  150 6663.978 2.726390   0.488774 3968.16  459.281  64.2530 1.104030 0.187211 0.644464 0.0691569 0.1295560 0.892225
  151 6663.953 2.740960   0.488909 3962.83  460.545  63.8899 1.096030 0.192167 0.655503 0.0708761 0.1324060 0.886181
  152 6663.899 2.755140   0.489048 3937.93  461.101  62.9630 1.075880 0.204170 0.681762 0.0754575 0.1363240 0.877270
  153 6663.803 2.752990   0.489017 3898.20  458.504  61.5868 1.047150 0.223117 0.728706 0.0830624 0.1383260 0.861753
  154 6663.626 2.717600   0.488541 3826.48  448.914  58.1433 0.976841 0.266876 0.816145 0.1037540 0.1406850 0.850009
  155 6663.601 2.698030   0.488318 3842.28  446.964  58.0920 0.978102 0.267463 0.824311 0.1044170 0.1384690 0.848514
  156 6663.569 2.669960   0.488000 3873.60  444.115  57.6199 0.969565 0.265957 0.802223 0.1069440 0.1372090 0.858641
  157 6663.557 2.659190   0.487883 3877.38  443.723  57.4961 0.967698 0.266620 0.805217 0.1073360 0.1360770 0.861707
  158 6663.523 2.634960   0.487585 3904.22  443.779  57.6228 0.971897 0.264456 0.813779 0.1055140 0.1333150 0.872133
  159 6663.451 2.611550   0.487251 3916.83  444.082  57.7491 0.979051 0.272056 0.873578 0.1045730 0.1305060 0.879249
  160 6663.315 2.577820   0.486919 3961.59  443.772  58.0512 0.995173 0.297254 1.050150 0.1042060 0.1284300 0.887845
  161 6663.150 2.572480   0.487022 3986.19  437.743  56.7553 0.970677 0.327815 1.155730 0.1152890 0.1336680 0.886844
  162 6663.024 2.599650   0.487903 4096.32  443.676  57.3996 0.986601 0.337386 1.232800 0.1144060 0.1414700 0.890019
  163 6662.999 2.599710   0.488342 4136.81  447.201  57.5792 0.995421 0.344099 1.281620 0.1142820 0.1432810 0.881840
  164 6662.997 2.595220   0.488541 4164.45  447.760  57.8134 1.000980 0.342157 1.287290 0.1130900 0.1435870 0.881207
  165 6662.984 2.585410   0.488610 4182.42  448.232  58.1867 1.010540 0.344390 1.332650 0.1112460 0.1425250 0.879835
  166 6662.975 2.581620   0.488497 4173.50  448.643  58.6957 1.021900 0.344058 1.374570 0.1082770 0.1403530 0.878837
  167 6662.962 2.580680   0.488283 4165.76  448.068  59.2504 1.036460 0.352254 1.476620 0.1057530 0.1387090 0.880298
  168 6662.943 2.587090   0.488177 4146.53  447.075  59.1153 1.033730 0.357312 1.502950 0.1067890 0.1389110 0.880715
  169 6662.937 2.590490   0.488238 4138.11  446.414  59.3177 1.037810 0.360028 1.538740 0.1059820 0.1383530 0.880092
  170 6662.934 2.596920   0.488361 4132.61  446.631  59.7409 1.046540 0.360851 1.579840 0.1038050 0.1377570 0.878567
  171 6662.925 2.596960   0.488419 4134.09  446.356  59.9936 1.052470 0.364579 1.630650 0.1028830 0.1370830 0.876293
  172 6662.904 2.600440   0.488461 4129.50  444.905  60.4356 1.064170 0.371802 1.728530 0.1013240 0.1361290 0.872315
  173 6662.867 2.609470   0.488475 4127.27  443.206  60.8846 1.077840 0.382166 1.851380 0.1002500 0.1362930 0.872463
  174 6662.850 2.614510   0.488441 4119.43  442.470  61.1155 1.085290 0.389753 1.932860 0.0997239 0.1362850 0.872838
  175 6662.820 2.622920   0.488382 4099.43  441.119  61.3247 1.093300 0.402216 2.053610 0.0996434 0.1364190 0.873465
  176 6662.749 2.649450   0.488177 4029.08  438.438  61.4859 1.104220 0.429312 2.290890 0.1006120 0.1376720 0.880957
  177 6662.706 2.677160   0.487933 3957.99  437.475  61.7484 1.112870 0.449178 2.476200 0.1004330 0.1385670 0.886114
  178 6662.662 2.714750   0.487619 3867.20  437.344  61.5078 1.109680 0.473581 2.641620 0.1028330 0.1413260 0.892464
  179 6662.660 2.713480   0.487679 3868.58  437.396  61.6052 1.110480 0.469480 2.618420 0.1020160 0.1405610 0.890672
  180 6662.646 2.726040   0.487732 3840.89  436.627  61.7040 1.110750 0.475269 2.677020 0.1015990 0.1397400 0.885427
  181 6662.643 2.723480   0.487729 3846.62  435.572  61.5405 1.104250 0.466627 2.588500 0.1017180 0.1385580 0.881022
  182 6662.633 2.725130   0.487628 3835.70  431.817  61.2116 1.094370 0.452643 2.433530 0.1023360 0.1367030 0.876017
  183 6662.623 2.723530   0.487595 3834.49  429.282  60.8666 1.084510 0.438609 2.273970 0.1031820 0.1354840 0.874415
  184 6662.616 2.722720   0.487556 3833.12  427.166  60.4808 1.073670 0.422672 2.095030 0.1041130 0.1346200 0.873509
  185 6662.607 2.729700   0.487516 3812.68  425.647  60.2481 1.068050 0.413124 1.984150 0.1046970 0.1344130 0.875562
  186 6662.572 2.762270   0.487343 3732.63  421.609  59.9359 1.063420 0.399613 1.814720 0.1058960 0.1351150 0.887822
  187 6662.521 2.792730   0.487186 3676.30  421.604  59.8497 1.066700 0.410457 1.869370 0.1074120 0.1376340 0.898723
  188 6662.486 2.799860   0.487236 3684.96  424.908  59.1230 1.051430 0.414721 1.813740 0.1115900 0.1404610 0.892915
  189 6662.478 2.799130   0.487294 3689.31  425.357  59.0684 1.048630 0.415137 1.818850 0.1115950 0.1406800 0.890203
  190 6662.469 2.806200   0.487272 3683.97  426.616  58.6891 1.037920 0.415128 1.786830 0.1130580 0.1421550 0.891188
  191 6662.469 2.806120   0.487271 3684.08  426.622  58.6885 1.037900 0.415088 1.786520 0.1130580 0.1421510 0.891238
  192 6662.468 2.805890   0.487221 3683.39  426.617  58.6814 1.037770 0.414873 1.786540 0.1130650 0.1421160 0.891207
  193 6662.468 2.805890   0.487221 3683.39  426.617  58.6814 1.037770 0.414873 1.786540 0.1130650 0.1421160 0.891207
