
 WorkFlow
Start 2024-10-19 14:14:18  Run : 4.56666666666667 nSubj: 60 nObs : 480
   63 6383.430   0.493321 5948.18 1840.030 75.9414 1.439750 0.384204 3.25378 0.0425001 0.0497490 1.30367
   64 6383.429   0.493187 5932.96 1837.080 75.8397 1.441160 0.383684 3.24354 0.0424556 0.0496914 1.30414
   65 6383.425   0.493039 5904.96 1829.070 75.6962 1.442400 0.382697 3.22304 0.0424386 0.0496164 1.30472
   66 6383.413   0.492757 5833.90 1803.140 75.3845 1.443150 0.380079 3.16739 0.0425302 0.0494812 1.30562
   67 6383.401   0.492321 5675.85 1735.120 74.8643 1.442030 0.373186 3.03591 0.0428184 0.0492086 1.30770
   68 6383.368   0.491863 5426.66 1618.470 74.1216 1.432240 0.362146 2.82508 0.0436276 0.0488968 1.30927
   69 6383.331   0.491362 5024.77 1419.390 73.0514 1.404750 0.343060 2.48263 0.0453670 0.0484593 1.31023
   70 6383.019   0.491235 4728.93 1270.650 72.2728 1.365300 0.328791 2.23775 0.0473795 0.0482164 1.30736
   71 6382.440   0.492046 4474.70 1101.870 71.7367 1.313830 0.317190 2.00247 0.0516196 0.0486610 1.29538
   72 6382.405   0.492148 4347.18 1039.000 71.3636 1.301270 0.312250 1.89868 0.0531978 0.0486983 1.29220
   73 6382.318   0.492324 4112.13  938.979 70.5816 1.276800 0.303673 1.72304 0.0563258 0.0486745 1.28570
   74 6382.318   0.492326 4110.49  938.172 70.5766 1.276690 0.303574 1.72170 0.0563428 0.0486714 1.28569
   75 6382.318   0.492326 4110.49  938.172 70.5766 1.276690 0.303574 1.72170 0.0563428 0.0486714 1.28569
   76 6382.293   0.492398 4107.92  938.362 70.5734 1.276750 0.303118 1.72260 0.0563839 0.0486723 1.28559
   77 6382.291   0.492431 4107.30  938.312 70.5744 1.276860 0.303107 1.72237 0.0563892 0.0486726 1.28551
   78 6382.234   0.493561 4095.48  937.566 70.6368 1.280240 0.303102 1.71780 0.0565185 0.0487123 1.28461
   79 6382.107   0.497604 4051.57  934.052 70.8653 1.292890 0.303565 1.69824 0.0569577 0.0488649 1.28098
   80 6382.083   0.498341 4041.69  932.953 70.9190 1.295720 0.303825 1.69299 0.0570387 0.0489158 1.28009
   81 6382.064   0.498269 4038.15  932.271 70.9434 1.296530 0.303983 1.69080 0.0570582 0.0489639 1.27984
   82 6382.022   0.497642 4030.64  930.598 70.9956 1.297780 0.304186 1.68672 0.0570953 0.0491067 1.27944
   83 6381.955   0.496638 4008.56  926.711 71.1335 1.301730 0.304397 1.67665 0.0572462 0.0494547 1.27829
   84 6381.888   0.494847 3984.80  922.358 71.2687 1.304820 0.304312 1.66720 0.0573990 0.0498925 1.27738
   85 6381.841   0.492891 3966.83  919.083 71.3473 1.305820 0.303892 1.66186 0.0575022 0.0502745 1.27712
   86 6381.827   0.492681 3968.02  919.467 71.3073 1.304430 0.303626 1.66396 0.0574822 0.0502777 1.27749
   87 6381.822   0.492915 3971.84  920.378 71.2472 1.302870 0.303524 1.66657 0.0574381 0.0502088 1.27786
   88 6381.815   0.493110 3972.83  920.937 71.1837 1.301390 0.303488 1.66807 0.0573998 0.0501735 1.27812
   89 6381.790   0.494208 3958.76  921.284 70.9327 1.297020 0.303399 1.66790 0.0573311 0.0502022 1.27836
   90 6381.766   0.494572 3950.61  921.319 70.7786 1.293990 0.303533 1.66743 0.0572697 0.0502327 1.27859
   91 6381.723   0.495004 3922.03  920.741 70.3462 1.284770 0.304004 1.66457 0.0571030 0.0504023 1.27929
   92 6381.716   0.494881 3920.26  920.310 70.4334 1.286710 0.304064 1.66281 0.0571685 0.0504226 1.27899
   93 6381.708   0.494596 3908.06  918.719 70.6334 1.291370 0.304296 1.65637 0.0573573 0.0505317 1.27812
   94 6381.701   0.494651 3905.86  919.014 70.5998 1.290360 0.304314 1.65662 0.0573491 0.0505175 1.27825
   95 6381.697   0.494660 3905.82  919.534 70.5222 1.288230 0.304328 1.65801 0.0572933 0.0504852 1.27861
   96 6381.688   0.494455 3902.08  919.797 70.5111 1.287230 0.304396 1.65791 0.0573056 0.0504699 1.27881
   97 6381.679   0.494223 3897.16  920.004 70.4928 1.285960 0.304504 1.65752 0.0573159 0.0504626 1.27905
   98 6381.642   0.493623 3881.81  922.465 70.3099 1.277660 0.304985 1.65959 0.0572812 0.0502878 1.28053
   99 6381.617   0.492525 3846.44  927.086 69.9604 1.261610 0.306067 1.66197 0.0572471 0.0499569 1.28327
  100 6381.612   0.492966 3852.65  925.582 70.0943 1.267020 0.305882 1.65954 0.0573053 0.0500474 1.28225
  101 6381.611   0.493073 3855.87  924.919 70.1530 1.269290 0.305781 1.65872 0.0573278 0.0500910 1.28184
  102 6381.608   0.492883 3852.18  924.682 70.1865 1.269630 0.305855 1.65736 0.0573730 0.0501018 1.28175
  103 6381.604   0.492191 3837.50  923.760 70.3145 1.270990 0.306149 1.65198 0.0575520 0.0501441 1.28139
  104 6381.602   0.492198 3839.27  923.944 70.2705 1.269970 0.306111 1.65306 0.0575156 0.0501303 1.28161
  105 6381.601   0.492297 3844.23  924.066 70.2119 1.269000 0.305993 1.65494 0.0574516 0.0501207 1.28180
  106 6381.600   0.492191 3844.07  923.743 70.2044 1.268780 0.305965 1.65474 0.0574557 0.0501302 1.28180
  107 6381.595   0.491974 3847.77  921.906 70.0949 1.266810 0.305679 1.65484 0.0574228 0.0501537 1.28199
  108 6381.586   0.492089 3847.14  918.210 69.9467 1.264640 0.305304 1.65177 0.0574595 0.0501578 1.28195
  109 6381.568   0.492616 3838.57  914.527 69.8616 1.263700 0.305138 1.64584 0.0575956 0.0501198 1.28157
  110 6381.555   0.495119 3784.61  894.785 69.3532 1.255920 0.304388 1.61327 0.0583740 0.0498516 1.27975
  111 6381.533   0.493951 3806.01  905.301 69.6258 1.259430 0.304943 1.62885 0.0580246 0.0499366 1.28064
  112 6381.528   0.494106 3797.56  903.705 69.5492 1.257270 0.304958 1.62580 0.0581071 0.0498745 1.28058
  113 6381.521   0.493849 3795.81  905.657 69.5584 1.256040 0.305176 1.62795 0.0580756 0.0498316 1.28083
  114 6381.521   0.492650 3793.85  912.648 69.4974 1.249030 0.305898 1.63769 0.0578857 0.0496721 1.28214
  115 6381.514   0.493218 3793.70  908.502 69.5097 1.252140 0.305511 1.63190 0.0580010 0.0497453 1.28145
  116 6381.511   0.493580 3788.19  905.241 69.4583 1.252110 0.305315 1.62687 0.0581150 0.0497314 1.28097
  117 6381.509   0.493383 3785.28  904.901 69.4298 1.250780 0.305357 1.62617 0.0581396 0.0497029 1.28100
  118 6381.506   0.493129 3784.87  905.704 69.4500 1.250470 0.305456 1.62688 0.0581340 0.0496914 1.28106
  119 6381.503   0.492600 3778.95  905.902 69.4795 1.249510 0.305631 1.62532 0.0582061 0.0496436 1.28092
  120 6381.502   0.492588 3779.08  904.940 69.4780 1.249860 0.305505 1.62411 0.0582342 0.0496514 1.28071
  121 6381.501   0.492395 3776.83  903.837 69.4742 1.249570 0.305422 1.62209 0.0582901 0.0496382 1.28042
  122 6381.500   0.492393 3775.41  902.960 69.4794 1.249880 0.305357 1.62044 0.0583332 0.0496362 1.28017
  123 6381.496   0.492455 3771.63  901.296 69.4399 1.249040 0.305228 1.61761 0.0584087 0.0495866 1.27962
  124 6381.493   0.492695 3772.61  900.190 69.3844 1.248500 0.305055 1.61673 0.0584136 0.0495657 1.27928
  125 6381.483   0.493384 3768.77  892.737 69.0694 1.243440 0.304190 1.60769 0.0585776 0.0493624 1.27665
  126 6381.479   0.492898 3767.73  895.739 69.1864 1.244430 0.304593 1.61052 0.0585370 0.0494053 1.27747
  127 6381.475   0.492787 3763.58  894.757 69.1381 1.242640 0.304544 1.60815 0.0585943 0.0493306 1.27681
  128 6381.473   0.492800 3759.00  893.623 69.1333 1.242170 0.304482 1.60501 0.0586674 0.0492927 1.27602
  129 6381.472   0.492881 3740.08  887.450 69.0972 1.240380 0.304015 1.59007 0.0590054 0.0491523 1.27229
  130 6381.469   0.492923 3747.85  890.315 69.1067 1.241100 0.304234 1.59688 0.0588477 0.0492211 1.27397
  131 6381.468   0.493045 3748.72  890.842 69.0996 1.241240 0.304270 1.59817 0.0588109 0.0492441 1.27420
  132 6381.465   0.493441 3745.63  891.002 69.0646 1.241150 0.304273 1.59833 0.0587764 0.0492927 1.27388
  133 6381.460   0.493884 3735.90  890.675 69.0114 1.240470 0.304275 1.59634 0.0587680 0.0493705 1.27268
  134 6381.454   0.494128 3719.37  889.744 68.9623 1.239300 0.304281 1.59164 0.0588058 0.0494768 1.27051
  135 6381.448   0.494038 3699.44  888.015 68.9441 1.238290 0.304249 1.58441 0.0589038 0.0495951 1.26768
  136 6381.443   0.493713 3683.04  885.888 68.9682 1.238220 0.304146 1.57692 0.0590307 0.0497017 1.26507
  137 6381.441   0.493432 3679.47  885.009 69.0158 1.239240 0.304068 1.57431 0.0590863 0.0497595 1.26430
  138 6381.440   0.493243 3679.47  884.579 69.0731 1.240980 0.303994 1.57335 0.0591097 0.0498319 1.26404
  139 6381.439   0.493287 3680.00  884.506 69.0919 1.241950 0.303964 1.57338 0.0591072 0.0498724 1.26403
