
 WorkFlow
Start 2024-10-19 12:42:08  Run : 6.53333333333333 nSubj: 60 nObs : 480
   32 6356.994   0.511790 5079.15 1424.02 38.5542 0.914107 2.85936 3.28861 1.30580
   33 6356.943   0.511791 5068.32 1425.97 38.3886 0.913230 2.88130 3.29660 1.30523
   34 6356.933   0.511319 5045.79 1434.73 38.0110 0.908740 2.90471 3.31107 1.30721
   35 6356.927   0.511280 5043.54 1434.83 37.9905 0.908691 2.90613 3.31194 1.30747
   36 6356.898   0.511253 5042.06 1426.57 37.9764 0.910548 2.92193 3.30858 1.30921
   37 6356.884   0.511137 5032.31 1415.62 37.8900 0.912876 2.95040 3.30630 1.31231
   38 6356.884   0.511137 5032.31 1415.62 37.8900 0.912876 2.95040 3.30630 1.31231
   39 6356.875   0.508582 5020.95 1409.49 37.7161 0.906882 2.93972 3.28502 1.30396
   40 6356.854   0.509226 4982.57 1405.22 37.6532 0.903459 2.93754 3.27563 1.29536
   41 6356.838   0.510475 5012.13 1408.20 37.7223 0.907892 2.94678 3.28181 1.29934
   42 6356.831   0.510604 5015.05 1407.68 37.6979 0.908545 2.95075 3.27085 1.29791
   43 6356.831   0.510863 5018.13 1405.90 37.6676 0.907961 2.95191 3.26683 1.29567
   44 6356.828   0.512178 5007.28 1408.73 37.6419 0.909212 2.95172 3.26657 1.29454
   45 6356.820   0.512060 5011.48 1408.09 37.6448 0.908958 2.95219 3.26717 1.29405
   46 6356.816   0.512020 5023.30 1406.99 37.6329 0.909087 2.95891 3.26891 1.29096
   47 6356.813   0.512106 5022.53 1408.05 37.6352 0.908730 2.96034 3.27006 1.28922
   48 6356.789   0.512950 5025.51 1419.25 37.5875 0.905823 2.97690 3.28099 1.27077
   49 6356.773   0.512648 5033.88 1421.23 37.5912 0.905331 2.98823 3.28924 1.26088
   50 6356.755   0.511875 5049.62 1420.60 37.5698 0.907302 3.00578 3.30730 1.24397
   51 6356.752   0.511960 5053.09 1422.85 37.5128 0.907742 3.01368 3.31858 1.23417
   52 6356.750   0.511989 5050.61 1423.05 37.4665 0.908258 3.01587 3.32107 1.23143
   53 6356.745   0.511941 5045.64 1422.61 37.4022 0.908408 3.02009 3.32223 1.22774
   54 6356.733   0.511325 5023.71 1418.69 37.2331 0.908392 3.02707 3.31395 1.22484
   55 6356.721   0.511151 5012.76 1414.63 37.1172 0.907924 3.04380 3.30750 1.21571
   56 6356.706   0.511989 4991.85 1402.43 36.9396 0.905464 3.08166 3.28440 1.19930
   57 6356.706   0.512155 4995.12 1402.11 36.9491 0.904825 3.09107 3.28250 1.19479
   58 6356.706   0.512155 4995.12 1402.11 36.9491 0.904825 3.09107 3.28250 1.19479
   59 6356.705   0.512950 4994.38 1403.53 36.9045 0.902830 3.09209 3.27807 1.19765
   60 6356.695   0.513245 5012.62 1405.15 36.7174 0.896991 3.09587 3.25199 1.21159
   61 6356.694   0.511860 5022.44 1418.58 36.3333 0.893752 3.10897 3.18513 1.24405
   62 6356.685   0.512446 5029.09 1417.09 36.1728 0.896145 3.10148 3.19521 1.24221
   63 6356.684   0.512022 5020.80 1410.35 36.4566 0.892267 3.09662 3.22689 1.22478
   64 6356.672   0.512627 5030.60 1415.29 36.3431 0.891565 3.10301 3.19116 1.23908
   65 6356.672   0.512627 5030.60 1415.29 36.3431 0.891565 3.10301 3.19116 1.23908
   66 6356.672   0.512627 5030.60 1415.29 36.3431 0.891565 3.10301 3.19116 1.23908
