
 WorkFlow
Start 2024-10-22 13:03:06  Run : 38.6333333333333 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa      K12     K21       K13       K31    dVdWT
   69 6703.995 0.964394   0.526837 5396.18 2551.340 68.0163 1.365170 0.480077 3.05421 0.0808056 0.0469652 1.060930
   70 6703.938 0.986944   0.522765 5484.60 2464.110 68.0917 1.358540 0.469407 2.92548 0.0810791 0.0471242 1.057500
   71 6703.879 0.980867   0.522835 5461.55 2483.230 68.3033 1.357360 0.472228 2.96172 0.0810160 0.0472244 1.058410
   72 6703.841 0.979269   0.522831 5454.03 2481.040 68.5321 1.354060 0.473028 2.97212 0.0809815 0.0474350 1.058360
   73 6703.788 0.982387   0.523044 5455.97 2454.440 68.8408 1.348390 0.472288 2.96181 0.0809883 0.0478902 1.057250
   74 6703.693 0.995204   0.523706 5473.36 2378.560 69.2217 1.339880 0.468883 2.91301 0.0811194 0.0488731 1.053980
   75 6703.566 1.022210   0.524784 5507.84 2239.840 69.4717 1.331650 0.462195 2.81476 0.0815023 0.0505460 1.047940
   76 6703.436 1.054510   0.525392 5537.03 2095.540 69.3014 1.330330 0.455417 2.71193 0.0821139 0.0522916 1.041590
   77 6703.303 1.078510   0.524922 5542.06 2004.970 68.6383 1.337590 0.451485 2.64911 0.0827589 0.0533163 1.037680
   78 6703.262 1.089440   0.523842 5536.98 1960.770 68.0335 1.340780 0.449536 2.61498 0.0832044 0.0536623 1.035960
   79 6703.234 1.092810   0.522888 5517.64 1941.550 67.6133 1.339920 0.449246 2.60183 0.0835828 0.0536933 1.035520
   80 6703.168 1.102610   0.521053 5458.36 1874.910 66.6952 1.330850 0.448005 2.55599 0.0847172 0.0539453 1.033770
   81 6703.037 1.106430   0.518906 5314.52 1802.570 65.4212 1.308600 0.448988 2.51505 0.0867112 0.0538250 1.033090
   82 6702.902 1.131860   0.515854 4992.52 1560.300 62.9015 1.245940 0.446065 2.34906 0.0918893 0.0545720 1.027610
   83 6702.536 1.108710   0.516096 4710.31 1537.180 62.0403 1.201110 0.452925 2.35410 0.0949240 0.0532560 1.031030
   84 6702.268 1.112920   0.517758 4495.61 1427.580 61.5859 1.166110 0.452120 2.27589 0.0980150 0.0535142 1.029160
   85 6702.029 1.130930   0.525626 3872.68 1098.850 60.9897 1.087870 0.444696 2.01260 0.1074290 0.0551120 1.021350
   86 6701.788 1.105130   0.531272 4026.84 1229.040 63.6956 1.143980 0.444934 2.10780 0.1034630 0.0549059 1.024770
   87 6701.259 1.111180   0.525333 3885.01 1164.370 61.6228 1.129670 0.445770 2.06580 0.1057540 0.0548163 1.024060
   88 6700.771 1.123280   0.519874 3122.27  846.730 57.8661 1.068090 0.443193 1.82389 0.1175510 0.0559990 1.018290
   89 6700.054 1.108720   0.519148 3153.22  893.067 58.5417 1.096640 0.444481 1.87544 0.1157460 0.0558232 1.020310
   90 6699.310 1.105210   0.518350 2738.77  746.566 58.2267 1.101420 0.441037 1.76671 0.1210940 0.0569428 1.017640
   91 6698.933 1.126000   0.518616 2040.10  472.683 58.2302 1.116740 0.430173 1.53782 0.1314830 0.0600461 1.009280
   92 6698.577 1.128560   0.519709 2370.06  584.760 59.1246 1.128560 0.433338 1.65366 0.1252570 0.0589422 1.012280
   93 6698.259 1.142450   0.519108 2301.40  556.015 58.8347 1.122580 0.433423 1.64734 0.1258660 0.0587676 1.011770
   94 6696.730 1.227580   0.517133 2038.60  425.672 58.3018 1.113330 0.430444 1.62259 0.1271080 0.0583816 1.007860
   95 6695.925 1.283200   0.516337 1886.68  362.051 58.2415 1.110820 0.429483 1.61768 0.1275950 0.0578323 1.006180
   96 6694.640 1.546130   0.514082 1521.84  227.491 58.9607 1.117210 0.431686 1.71149 0.1243020 0.0533559 1.004510
   97 6693.673 1.547020   0.514868 1393.61  211.311 58.7982 1.109120 0.433653 1.69511 0.1263940 0.0526761 1.005470
   98 6692.817 1.528090   0.516251 1544.20  260.008 59.3250 1.122340 0.436329 1.74494 0.1237750 0.0520864 1.008310
   99 6691.593 1.582220   0.516284 1573.67  256.116 60.2378 1.170830 0.435637 1.82822 0.1194800 0.0521104 1.007110
  100 6690.249 1.832640   0.515121 1492.97  207.126 64.0044 1.278360 0.433727 2.05582 0.1090370 0.0493946 1.005340
  101 6689.196 1.812510   0.515543 1559.90  225.563 64.8960 1.291560 0.430651 2.06601 0.1078200 0.0492586 1.005800
  102 6688.412 1.911030   0.515653 1598.57  224.246 67.0254 1.343430 0.426581 2.19062 0.1021730 0.0474843 1.005330
  103 6687.831 2.077490   0.516138 1534.63  197.510 69.2290 1.408090 0.421870 2.35405 0.0964574 0.0447202 1.003290
  104 6687.425 2.145540   0.515859 1645.63  212.771 69.8826 1.431850 0.419992 2.49382 0.0919643 0.0431936 1.002310
  105 6687.244 2.128400   0.515863 1658.15  216.958 69.4982 1.424570 0.419663 2.48129 0.0926976 0.0434171 1.001590
  106 6687.083 2.188520   0.515642 1636.70  208.896 70.1714 1.443380 0.418703 2.53602 0.0914005 0.0427335 0.999985
  107 6686.973 2.273670   0.515490 1646.68  205.150 71.2162 1.470740 0.416506 2.61958 0.0890623 0.0418684 0.997167
  108 6686.859 2.333090   0.515646 1660.02  204.603 71.7917 1.484630 0.415350 2.66576 0.0879887 0.0415709 0.994084
  109 6686.589 2.455690   0.516032 1690.30  205.334 72.4550 1.499840 0.415491 2.74414 0.0869835 0.0414887 0.986278
  110 6686.242 2.614460   0.516450 1717.81  205.037 72.7342 1.505730 0.419563 2.82988 0.0871245 0.0420121 0.975240
  111 6685.622 2.870020   0.516510 1753.60  204.566 72.1312 1.487360 0.433351 2.94481 0.0899961 0.0438851 0.955876
  112 6684.542 3.236360   0.516007 1811.82  206.030 70.0332 1.424730 0.464113 3.08428 0.0977752 0.0482184 0.926408
  113 6682.497 4.326560   0.512207 2096.41  228.142 61.3542 1.159610 0.582135 3.39426 0.1319280 0.0670347 0.837352
  114 6681.192 4.444170   0.511277 2050.22  219.666 58.9391 1.091820 0.611414 3.34022 0.1434980 0.0716843 0.824862
  115 6680.048 3.811300   0.508808 1956.80  216.909 60.1901 1.176810 0.582723 3.03184 0.1406810 0.0695391 0.857701
  116 6678.973 3.962310   0.508039 2023.88  217.329 59.1595 1.151060 0.598055 3.10352 0.1464030 0.0714127 0.845901
  117 6676.461 4.868900   0.502659 2482.23  238.364 48.1262 0.842375 0.759500 3.23732 0.2145220 0.0994440 0.757049
  118 6675.317 4.649560   0.504171 2457.34  225.214 51.2071 0.977322 0.726574 3.27628 0.2031570 0.0930118 0.776061
  119 6674.751 4.977830   0.501890 2643.61  228.351 46.7922 0.908005 0.817320 3.33212 0.2443110 0.1094750 0.740717
  120 6673.741 4.644020   0.504905 2442.59  222.328 48.6568 0.915280 0.782538 3.20704 0.2313890 0.1020000 0.765914
  121 6673.544 4.520490   0.508293 2346.59  225.699 50.7594 0.934797 0.748745 3.21255 0.2143180 0.0950569 0.783954
  122 6673.261 4.471670   0.506532 2324.79  228.020 50.1796 0.939491 0.747608 3.16077 0.2150520 0.0956956 0.786966
  123 6672.590 4.469730   0.501083 2297.21  232.663 47.9641 0.938540 0.762115 3.07093 0.2237070 0.0999881 0.786074
  124 6672.027 4.527420   0.503958 2290.68  231.884 48.9136 0.927415 0.760119 3.12708 0.2204690 0.0991338 0.786281
  125 6671.848 4.661520   0.505972 2294.72  233.423 49.3143 0.906436 0.768496 3.17356 0.2220160 0.1015530 0.783067
  126 6671.487 4.617860   0.505969 2293.44  231.102 49.0973 0.911692 0.770483 3.13783 0.2252160 0.1026850 0.785746
  127 6671.134 4.616710   0.504735 2290.54  228.198 48.5389 0.912972 0.775891 3.08642 0.2308820 0.1052860 0.789240
  128 6670.838 4.681620   0.503553 2269.81  226.240 48.2050 0.912655 0.783920 3.05647 0.2360360 0.1085900 0.793484
