
 WorkFlow
Start 2024-10-22 12:47:40  Run : 15.1166666666667 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa      K12      K21       K13       K31    dVdWT
   85 6629.524 1.708970   0.487219 2273.11  439.938 73.7726 1.355820 0.242903 1.320770 0.0543910 0.0389145 1.154920
   86 6628.969 1.753860   0.487893 2210.49  404.369 72.7799 1.330160 0.256066 1.355860 0.0596111 0.0409093 1.132510
   87 6628.672 1.792950   0.486738 2165.37  379.904 71.1660 1.300440 0.268473 1.372260 0.0647583 0.0432605 1.101630
   88 6628.582 1.790900   0.486272 2218.91  393.471 70.4463 1.284950 0.274106 1.383270 0.0664531 0.0443191 1.084520
   89 6628.467 1.806400   0.486579 2175.06  384.756 69.8781 1.268370 0.276992 1.362730 0.0682415 0.0453777 1.066290
   90 6628.337 1.821330   0.486928 2175.33  387.953 69.5750 1.255670 0.275245 1.325350 0.0685111 0.0463483 1.051600
   91 6628.092 1.863240   0.487063 2257.25  410.957 69.2509 1.237250 0.265351 1.229420 0.0671476 0.0485103 1.026230
   92 6627.928 1.920620   0.486307 2377.30  433.577 69.2086 1.229490 0.253941 1.151240 0.0651281 0.0503539 1.011710
   93 6627.808 2.027250   0.485083 2439.83  437.826 68.8187 1.220270 0.243083 1.044130 0.0648435 0.0531912 0.991537
   94 6627.702 2.120760   0.484042 2470.98  425.206 68.9044 1.219850 0.236049 1.018910 0.0638942 0.0539893 0.994862
   95 6627.545 2.171670   0.484408 2394.18  406.214 68.8476 1.219190 0.235352 1.008210 0.0643694 0.0540063 0.998542
   96 6627.181 2.331590   0.487351 2246.83  383.637 69.4053 1.228660 0.226111 0.947037 0.0626091 0.0532602 1.022390
   97 6627.101 2.408560   0.485947 2239.11  382.130 69.3263 1.227460 0.220386 0.902486 0.0619658 0.0540431 1.020300
   98 6627.080 2.482840   0.485209 2262.68  389.055 69.5433 1.226580 0.211541 0.846519 0.0602136 0.0550159 1.020030
   99 6627.078 2.506510   0.485190 2260.05  388.119 69.5598 1.225630 0.209103 0.829195 0.0598895 0.0554293 1.019380
